mobile_file	domain	web_route_candidates	nav_markers	action_markers	http_methods	status	endpoint_markers
(onboarding)/_layout.tsx	(onboarding)		0	0		missing-or-merged-route-review	// | /Stack
(onboarding)/index.tsx	(onboarding)		2	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/constants | /../src/context/AppContext | /../src/theme | // | /Animated.View | /AppText | /TouchableOpacity | /View | /async-storage | /language | /}
(onboarding)/language.tsx	(onboarding)		1	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/NabdahLogo | /../src/components/ui | /../src/context/AppContext | // | /Animated.View | /AppText | /ScrollView | /TouchableOpacity | /View | /welcome
(onboarding)/permissions.tsx	(onboarding)		1	3		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/constants | /../src/context/AppContext | // | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /async-storage | /welcome
(tabs)/_layout.tsx	(tabs)		0	0		missing-or-merged-route-review	/../src/components/BottomNavBar | /../src/components/Header | // | /Tabs | /index
(tabs)/consultations/index.tsx	(tabs)		8	31		missing-or-merged-route-review	/../../src/components/Icon | /../../src/components/LocalizedText | /../../src/context/AppContext | /../../src/theme/colors | /../../src/utils/api | /../../src/utils/localize | // | /LocalizedText | /Modal | /ScrollView | /TouchableOpacity | /View | /ai-assistant | /care/specialties | /consultations/doctor-search | /consultations/doctor/${params?.doc?.id | /consultations/specialty-select | /counts | /g | /home/offers | /insurance/companies | /insurance/companies/${insCompany}/networks | /offers | /offers/${p.id} | /providers?type=doctor | /}
(tabs)/diagnostics.tsx	(tabs)	/[locale]/diagnostics	11	21		partial-route-only	/../src/components/ui | /../src/context/AppContext | /../src/context/DiagnosticsCartContext | /../src/utils/api | /../src/utils/labMappers | /../src/utils/selectedAddress | // | /Animated.View | /AppText | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /delivery/address-select | /diagnostics/cart | /diagnostics/checkout | /diagnostics/insurance-upload | /diagnostics/lab/${lab.id} | /diagnostics/orders | /diagnostics/package-detail?id=${pkg.id}&serviceType=${serviceType} | /diagnostics/packages | /diagnostics/test-detail?id=${rad.id}&isRadiology=true | /diagnostics/test-detail?id=${test.id} | /labs/packages | /labs/services | /providers?type=lab | /radiology/services | /vector-icons/MaterialCommunityIcons | /}
(tabs)/health.tsx	(tabs)	/[locale]/health	9	7		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /Animated.ScrollView | /Animated.View | /AppText | /Card | /TouchableOpacity | /View | /articles | /consultations/appointments | /consultations/waiting-room | /health/edit-profile | /health/family-chat | /health/family-hub | /health/health-id | /health/medications | /health/prescriptions | /health/reports | /health/score | /health/smart-reminders | /health/vitals | /health/vitals/summary | /home/upcoming-appointment | /loyalty/hub | /nursing | /nutrition/daily-summary?date=${new | /}
(tabs)/index.tsx	(tabs)		19	19		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/i18n/health-day | /../src/utils/api | /Animated.View | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /ai/triage | /consultations | /consultations/appointment-detail | /consultations/appointments | /diagnostics | /emergency/sos | /health | /health/medication-reminder-list | /health/reminders | /health/vitals | /health/vitals/summary | /home/upcoming-appointment | /maternity/hub | /maternity/profile | /mental-health/mood-journal | /mental-health/mood?days=1 | /notifications | /nutrition/daily-summary | /nutrition/daily-tracker | /pharmacy | /profile | /users/me/profile
(tabs)/nursing.tsx	(tabs)		2	18		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /BlurView | /ImageBackground | /LocalizedText | /Modal | /ScrollView | /Svg | /TouchableOpacity | /TouchableWithoutFeedback | /View | /home-care/packages | /home-care/services | /nursing/service-details | /nursing/service-info | /}
(tabs)/pharmacy.tsx	(tabs)		8	16		missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/LocalizedText | /../src/context/AppContext | /../src/context/CartContext | /../src/theme/colors | /../src/utils/api | /../src/utils/localize | // | /Animated.View | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /async-storage | /components/ProductImage | /components/RotatingCardImage | /medicines/categories | /medicines?${q.toString | /pharmacy.tsx | /pharmacy/barcode-scanner | /pharmacy/cart | /pharmacy/filters | /pharmacy/manual-order | /pharmacy/order-history | /pharmacy/product-detail | /pharmacy/scan-prescription | /utils/imageUrl | /utils/productNav | /}
(tabs)/services.tsx	(tabs)	/[locale]/home-care/services	2	2		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | // | /AppText | /Card | /ScrollView | /View | /consultations/specialty-select | /diagnostics | /diagnostics/packages | /emergency/sos | /maternity/pregnancy-tracker | /mental-health/hub | /nursing | /nutrition/hub | /}
_layout.tsx	_layout.tsx		0	2	POST	missing-or-merged-route-review	// | /AppProvider | /CartProvider | /ConsultationsProvider | /DiagnosticsCartProvider | /GestureHandlerRootView | /Provider | /SafeAreaProvider | /SocketProvider | /Stack | /StoreHydrator | /[id] | /_layout.tsx | /assets/fonts/Cairo-Black.ttf | /assets/fonts/Cairo-Bold.ttf | /assets/fonts/Cairo-ExtraBold.ttf | /assets/fonts/Cairo-Medium.ttf | /assets/fonts/Cairo-Regular.ttf | /assets/fonts/Cairo-SemiBold.ttf | /assets/fonts/MaterialSymbolsRounded.ttf | /async-storage | /auth/guest | /bookings/history | /location-picker | /react-native | /src/components/NotificationHandler | /src/components/OfflineBanner | /src/constants | /src/context/AppContext | /src/context/CartContext | /src/context/ConsultationsContext | /src/context/DiagnosticsCartContext | /src/context/SocketContext | /src/data/database/core/DatabaseManager | /src/data/sync/BackgroundSynchronizer | /src/data/sync/SyncManager | /src/polyfills | /src/store | /src/store/slices/authSlice | /src/utils/api
ai/chat-doctor.tsx	ai		0	0		missing-or-merged-route-review	/ai/triage
ai/monthly-report.tsx	ai		5	7		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | /../src/utils/monthly-health-report-contract | // | /100 | /AppText | /ScrollView | /TouchableOpacity | /View | /ai/monthly-report | /ai/monthly-report.tsx | /care/appointments | /consultations | /health/chronic-meds | /health/trends | /health/vitals-log | /health/vitals/summary | /utils/dates | /}
ai/prescription-translator.tsx	ai		5	10	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /ai/ocr-translate | /consultations/share-report | /health/medication-reminder-add | /pharmacy | /pharmacy/product-detail | /}
ai/skin-analysis.tsx	ai		1	8	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/i18n/guided-care | /../src/utils/api | /AppText | /ScrollView | /TouchableOpacity | /View | /ai/skin-analysis | /consultations
ai/symptom-checker.tsx	ai		0	0		missing-or-merged-route-review	/ai/triage
ai/symptom-timeline.tsx	ai		0	0		missing-or-merged-route-review	/ai/triage
ai/triage.tsx	ai		1	7	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/i18n/guided-care | /../src/utils/api | /AppText | /ScrollView | /TouchableOpacity | /View | /ai/triage | /consultations
ai-assistant.tsx	ai-assistant.tsx		1	3		missing-or-merged-route-review	// | /DSText | /KeyboardAvoidingView | /SafeAreaView | /ScrollView | /View | /ai/prescription-translator | /ai/triage/chat | /design-system | /services/HttpClient | /src/components/ui | /store/hooks
articles/[slug].tsx	articles	/articles/[slug]	1	5	POST	partial-route-contract-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | //nabdahplus.com/articles/${article.slug} | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /articles/${encodeURIComponent | /articles/:slug | /articles/[slug] | /articles/[slug].tsx | /articles/bookmarks/${encodeURIComponent | /articles?category=${encodeURIComponent | /status | /toggle | /utils/dates | /}
articles/bookmarks.tsx	articles	/[locale]/articles/bookmarks	2	4		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /articles | /articles/[slug] | /articles/bookmarks.tsx | /articles/bookmarks/mine
articles/index.tsx	articles	/articles	2	6		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /articles | /articles/[slug] | /articles/bookmarks | /articles/categories | /articles/index.tsx | /articles?${params.toString | /exhaustive-deps | /utils/dates | /}
community/hub.tsx	community		1	7	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Card | /KeyboardAvoidingView | /Modal | /TouchableOpacity | /View | /community/post-detail | /community/posts | /community/posts?page=1&limit=20${qs} | /utils/dates | /}
community/post-detail.tsx	community		0	6	POST,PUT	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /ScrollView | /TouchableOpacity | /View | /community/posts/${postId} | /community/posts/${postId}/comment | /community/posts/${postId}/vote | /utils/dates | /}
consultations/appointment-detail.tsx	consultations	/appointments/[appointmentId]	8	10		partial-route-only	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Modal | /ScrollView | /TouchableOpacity | /View | /care/appointments/${params.appointmentId} | /consultations/cancel-reschedule | /consultations/clinic-location | /consultations/doctor/[id] | /consultations/home-visit-tracking | /consultations/summary | /consultations/virtual-waiting-room | /insurance/payment-split | /insurance/requests/my | /reviews | /utils/dates | /}
consultations/appointments.tsx	consultations	/[locale]/appointments	5	8		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/context/ConsultationsContext | /../src/hooks/useGuestGuard | // | /AppText | /TouchableOpacity | /View | /consultations | /consultations/appointment-detail | /consultations/book/[id] | /consultations/cancel-reschedule | /consultations/waiting-room
consultations/book/[id].tsx	consultations		3	9		missing-or-merged-route-review	/../../src/components/Icon | /../../src/components/LocalizedAlert | /../../src/components/ui | /../../src/context/AppContext | /../../src/utils/api | /../../src/utils/localize | /../../src/utils/selectedAddress | // | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /care/doctors/${encodeURIComponent | /consultations/book/[id].tsx | /consultations/booking-confirm | /delivery/address-select | /slots?date=${days[dayOffset].iso}&service_type=${visitType} | /utils/dates | /}
consultations/booking-confirm.tsx	consultations		4	6	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/constants | /../src/context/AppContext | /../src/hooks/useGuestGuard | /../src/utils/api | /../src/utils/localize | /../src/utils/payment-idempotency | // | //api.nabdahplus.com/v1 | //localhost:8002 | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /api/v1 | /async-storage | /card/insurance | /care/appointments | /care/doctors/${params.doctorId} | /consultations/booking-success | /insurance | /insurance/companies | /insurance/companies/${insCompany}/networks | /insurance/coverage-check?provider_id=${params.doctorId}&service_type=consultation | /insurance/payment-split | /insurance/requests | /payments/intent/consultation/${appt.id} | /payments/processing | /profile/insurance | /time | /users/me/profile | /utils/dates | /}
consultations/booking-pending.tsx	consultations		5	4	PATCH	missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /Animated.View | /AppText | /Card | /TouchableOpacity | /View | /appointments/:id | /care/appointments/${appointmentId} | /care/appointments/${appointmentId}/cancel | /consultations/clinic-confirm | /consultations/doctor-search | /consultations/home-visit-tracking | /consultations/virtual-waiting-room
consultations/booking-success.tsx	consultations		4	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/theme/colors | // | /Animated.View | /AppText | /TouchableOpacity | /View | /consultations | /consultations/appointments | /consultations/booking-pending
consultations/call-history.tsx	consultations		1	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /TouchableOpacity | /View | /calls/history?page=${pageNum}&limit=20 | /consultations/video-call | /}
consultations/cancel-reschedule.tsx	consultations	/appointments/[appointmentId]	2	9	PATCH	partial-route-contract-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /ScrollView | /TouchableOpacity | /View | /care/appointments/${appointmentId} | /care/appointments/${appointmentId}/cancel | /care/appointments/${appointmentId}/reschedule | /care/doctors/${appointment.doctor_id}/slots?date=${d}&service_type=${serviceType} | /consultations/appointments | /utils/dates
consultations/chat-with-doctor.tsx	consultations		0	3	POST	missing-or-merged-route-review	/../src/components/LocalizedAlert | /../src/components/LocalizedText | /../src/context/AppContext | /../src/context/SocketContext | /../src/theme/colors | /../src/utils/api | /../src/utils/localize | // | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /care/doctors/${doctorId} | /chat/threads/${threadId}/messages | /chat/threads/${tid}/messages | /chat/threads/direct | /created | /utils/dates | /}
consultations/clinic/[id].tsx	consultations		1	2		missing-or-merged-route-review	/../../src/components/Icon | /../../src/components/LocalizedText | /../../src/context/AppContext | /../../src/utils/api | /../../src/utils/localize | // | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /care/facilities/${id} | /consultations/doctor-profile?doctorId=${doc.id} | /}
consultations/clinic-confirm.tsx	consultations		4	5		missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ScreenStates | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Card | /QR | /ScreenState | /ScrollView | /TouchableOpacity | /View | /appointments/:id | /care/appointments/${appointmentId} | /care/doctors/${a.doctor_id} | /care/doctors/:doctor_id | /consultations/cancel-reschedule | /consultations/chat-with-doctor | /consultations/clinic-location | /utils/dates | /}
consultations/clinic-location.tsx	consultations		0	2		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/components/MapPrimitives | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | // | /LocalizedText | /MapView | /TouchableOpacity | /View | /care/appointments/${appointmentId} | /}
consultations/doctor/[id].tsx	consultations		3	12		missing-or-merged-route-review	/../../src/components/LocalizedText | /../../src/context/AppContext | /../../src/theme/colors | /../../src/utils/api | /../../src/utils/localize | // | //app.nabdahplus.com/s/doctor/${doc.slug | /Hospital | /Left | /LocalizedText | /Modal | /Right | /ScrollView | /TouchableOpacity | /View | /care/doctors/${encodeURIComponent | /consultations/book/[id] | /consultations/booking-confirm | /consultations/clinic/${doc.facility_id} | /g | /slots?date=${iso}&service_type=${vt} | /utils/dates | /}
consultations/doctor-profile.tsx	consultations	/consultations/doctors/[doctorId]	2	0		partial-route-only	/../src/components/ui | /../src/context/AppContext | // | /AppText | /View | /consultations/doctor-search | /consultations/doctor/${doctorId} | /consultations/doctor/[id]. | /s/doctor/:slug
consultations/doctor-search.tsx	consultations	/consultations/doctors	2	3		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /AppText | /ScrollView | /View | /care/doctors?${qs.toString | /consultations/book/[id] | /consultations/doctor/[id] | /price/wait/exp/hospital
consultations/follow-up.tsx	consultations		3	6		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /AppText | /Card | /ScrollView | /View | /care/appointments/${encodeURIComponent | /care/appointments/:id | /care/doctors/${encodeURIComponent | /consultations/book/[id] | /consultations/chat-with-doctor | /consultations/follow-up.tsx | /pharmacy | /utils/dates | /}
consultations/home-visit-tracking.tsx	consultations		1	3		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | // | /LocalizedText | /TouchableOpacity | /View | /care/appointments/${appointmentId} | /consultations/chat-with-doctor
consultations/incoming-call.tsx	consultations		1	2	POST	missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /TouchableOpacity | /View | /calls/${sessionId}/reject | /consultations/video-call | /}
consultations/offer/[id].tsx	consultations		0	0		missing-or-merged-route-review	// | /consultations/offer/[id].tsx | /offers/:id | /offers/[id]
consultations/post-call-rating.tsx	consultations		2	4	POST	missing-or-merged-route-review	/../src/components/LocalizedAlert | /../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | // | /LocalizedText | /ScrollView | /TouchableOpacity | /View | /care/appointments/rating | /consultations | /patient-ux/review
consultations/prescription-from-doctor.tsx	consultations		4	9		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Card | /ScrollView | /TouchableOpacity | /View | /consultations/follow-up | /diagnostics/search | /duration/instruction | /pharmacy/product-detail | /pharmacy/rx-order | /prescriptions/active | /}
consultations/share-report.tsx	consultations		1	4		missing-or-merged-route-review	/../src/components/Icon | /../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /AppText | /Card | /S21: | /ScrollView | /View | /medical-reports/mine | /medical-reports/mine?limit=100 | /reports/hub | /utils/dates
consultations/specialty-select.tsx	consultations	/consultations/specialties	1	3		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Card | /ScrollView | /View | /care/specialties | /consultations/doctor-search
consultations/summary.tsx	consultations		3	3		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ScreenStates | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Card | /ScreenState | /ScrollView | /View | /care/appointments/${appointmentId} | /care/appointments/${appointmentId}/summary | /care/appointments/:id/summary | /consultations/booking-confirm | /consultations/post-call-rating | /consultations/prescription-from-doctor
consultations/video/[id].tsx	consultations		0	0		missing-or-merged-route-review	// | /consultations/video-call | /consultations/video-call.
consultations/video-call.tsx	consultations		1	3	POST	missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | // | //live.nabd.plus | /LocalizedText | /TouchableOpacity | /View | /calls/${sessionId}/join | /calls/:sessionId/join | /calls/initiate | /care/appointments/:id/video-token | /consultations/post-call-rating | /react-native | /}
consultations/virtual-waiting-room.tsx	consultations		1	2		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | /../src/utils/localize | // | /LocalizedText | /TouchableOpacity | /View | /care/appointments/${appointmentId} | /consultations/video-call
consultations/waiting-room.tsx	consultations		1	2		missing-or-merged-route-review	/../src/components/LocalizedText | /../src/context/AppContext | /../src/theme/colors | /../src/utils/api | /../src/utils/localize | // | /LocalizedText | /TouchableOpacity | /View | /care/appointments/${appointmentId} | /consultations
delivery/address-select.tsx	delivery		2	5		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/selectedAddress | // | /AppText | /ScrollView | /TouchableOpacity | /View | /delivery/address-select.tsx | /shared/location-picker | /users/me/addresses | /}
diagnostics/book-sample.tsx	diagnostics		1	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/context/DiagnosticsCartContext | // | /AppText | /Card | /ScrollView | /View | /diagnostics/book-sample.tsx | /diagnostics/cart
diagnostics/booking-confirm.tsx	diagnostics		0	0		missing-or-merged-route-review	/diagnostics
diagnostics/booking-success.tsx	diagnostics		2	2		missing-or-merged-route-review	/../src/components/ui | /../src/context/AppContext | // | /Animated.View | /AppText | /SafeAreaView | /TouchableOpacity | /View | /diagnostics/orders | /vector-icons/MaterialCommunityIcons
diagnostics/cart.tsx	diagnostics	/[locale]/cart	1	9		partial-route-only	/../src/components/ui | /../src/context/AppContext | /../src/context/DiagnosticsCartContext | /../src/utils/api | // | /Animated.View | /AppText | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /diagnostics/checkout | /labs/compatible-providers?testIds=${ids} | /vector-icons/MaterialCommunityIcons | /}
diagnostics/checkout.tsx	diagnostics	/[locale]/cart/checkout	0	0		partial-route-only	/diagnostics
diagnostics/insurance-approval.tsx	diagnostics		3	5	PATCH	missing-or-merged-route-review	/../src/components/ui | /../src/context/AppContext | /../src/context/DiagnosticsCartContext | /../src/utils/api | // | /Animated.View | /AppText | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /consultations | /diagnostics/checkout | /orders/${orderId} | /orders/${orderId}/items/${item.id}/opt-in-cash | /vector-icons/MaterialCommunityIcons | /}
diagnostics/insurance-upload.tsx	diagnostics		2	14	POST	missing-or-merged-route-review	/../src/components/LocalizedAlert | /../src/components/ui | /../src/context/AppContext | /../src/context/DiagnosticsCartContext | /../src/utils/api | /../src/utils/localize | // | /Animated.View | /AppText | /Gallery | /S21: | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /ai/ocr-translate | /consultations | /diagnostics/insurance-approval | /insurance/companies | /insurance/companies/${selCompany}/networks | /orders/create | /providers?type=lab | /vector-icons/MaterialCommunityIcons | /}
diagnostics/lab/[id].tsx	diagnostics		1	5		missing-or-merged-route-review	/../../src/components/LocalizedAlert | /../../src/components/ui | /../../src/context/AppContext | /../../src/context/DiagnosticsCartContext | /../../src/utils/api | // | //www.google.com/maps/dir/?api=1&destination=${lab.lat} | //www.google.com/maps/search/?api=1&query=${encodeURIComponent | /Animated.View | /AppText | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /diagnostics/test-detail?id=${test.id}&labId=${id} | /labs/services?providerId=${id} | /providers/${id} | /vector-icons/MaterialCommunityIcons | /}
diagnostics/lab-comparison.tsx	diagnostics		1	2		missing-or-merged-route-review	/../src/components/LocalizedAlert | /../src/components/ui | /../src/context/DiagnosticsCartContext | /../src/theme | /../src/utils/api | // | /AppText | /ScrollView | /TouchableOpacity | /View | /diagnostics/cart | /labs/compatible-providers?testIds=${id} | /labs/services/${id} | /vector-icons/MaterialIcons
diagnostics/my-results.tsx	diagnostics	/health/reports	1	2		partial-route-only	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /Card | /ScrollView | /View | /diagnostics/order/[id] | /labs/bookings/mine | /radiology/reports/mine
diagnostics/order/[id].tsx	diagnostics		1	6	POST	missing-or-merged-route-review	/../../src/components/LocalizedAlert | /../../src/components/ui | /../../src/context/AppContext | /../../src/utils/api | // | /Animated.View | /AppText | /CDN | /ScrollView | /TouchableOpacity | /View | /bookings/${id}/cancel | /labs | /labs/bookings/${id} | /orders/mine | /radiology | /radiology/bookings/${id} | /reports/view-report | /vector-icons/MaterialCommunityIcons | /}
diagnostics/orders.tsx	diagnostics	/[locale]/orders	1	4		partial-route-only	/../src/components/ui | /../src/context/AppContext | /../src/utils/api | /../src/utils/localize | // | /Animated.View | /AppText | /ScrollView | /TouchableOpacity | /View | /diagnostics/sample-tracking?bookingId=${order.id} | /labs/bookings/mine | /radiology/bookings/mine | /vector-icons/MaterialCommunityIcons | /}
diagnostics/package-detail.tsx	diagnostics	/diagnostics/packages/[packageId]	0	3		partial-route-only	/../src/components/ui | /../src/context/AppContext | /../src/context/DiagnosticsCartContext | /../src/utils/api | /../src/utils/labMappers | // | /Animated.View | /AppText | /SafeAreaView | /ScrollView | /TouchableOpacity | /View | /labs/packages/${id} | /vector-icons/MaterialCommunityIcons
diagnostics/packages.tsx	diagnostics	/[locale]/diagnostics/packages	1	3		partial-route-only	/../src/components/ui | /../src/theme | /../src/utils/api | /../src/utils/localize | // | /AppText | /ScrollView | /TouchableOpacity | /View | /diagnostics/package-detail?id=${pkg.id} | /labs/categories | /labs/packages | /vector-icons/MaterialIcons
diagnostics/results-history.tsx	diagnostics		1	2		missing-or-merged-route-review	/../src/components/Icon | /../src/components/ui | /../src/context/AppContext | /../src/utils/api | // | /AppText | /TouchableOpacity | /View | /labs/bookings/mine | /reports/view-report
diagnostics/sample-tracking.tsx	diagnostics		0	0		missing-or-merged-route-review	/diagnostics/orders
