group	file	decision	main	verify
maternity_cycle	app/maternity/baby-growth.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 19095, ""sha"": ""a735c6f42084"", ""api"": 7, ""actions"": 12, ""states"": 4, ""risk"": 8, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 233, ""sha"": ""8ec294db2f5a"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
maternity_cycle	app/maternity/fetus-data.ts	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 12164, ""sha"": ""def8d2546132"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 12164, ""sha"": ""def8d2546132"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 1, ""redirect_only"": false}"
maternity_cycle	app/maternity/hub.tsx	MERGE_VERIFY_SAFETY_INTO_MAIN	"{""exists"": true, ""bytes"": 31936, ""sha"": ""7e62e9a8d0db"", ""api"": 5, ""actions"": 20, ""states"": 11, ""risk"": 4, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 7672, ""sha"": ""cba131a48ea9"", ""api"": 2, ""actions"": 7, ""states"": 18, ""risk"": 0, ""redirect_only"": false}"
maternity_cycle	app/maternity/maternity-setup.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 22433, ""sha"": ""8c8cb3b2c563"", ""api"": 2, ""actions"": 24, ""states"": 2, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 4624, ""sha"": ""e0aa4f39e9f6"", ""api"": 2, ""actions"": 3, ""states"": 11, ""risk"": 3, ""redirect_only"": false}"
maternity_cycle	app/maternity/ovulation-tracker.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 26615, ""sha"": ""e34a4237c1dd"", ""api"": 2, ""actions"": 22, ""states"": 3, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 237, ""sha"": ""3499b763ecc9"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
maternity_cycle	app/maternity/pregnancy-tracker.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 14669, ""sha"": ""88224f5dc695"", ""api"": 5, ""actions"": 13, ""states"": 11, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 222, ""sha"": ""fc8ae6098620"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
mental_health	app/mental-health/breathing.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 10120, ""sha"": ""9411e7070809"", ""api"": 2, ""actions"": 8, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 256, ""sha"": ""9da58e476a9f"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
mental_health	app/mental-health/crisis-support.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 10639, ""sha"": ""dd4ac8fad89c"", ""api"": 4, ""actions"": 12, ""states"": 1, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 10752, ""sha"": ""bc22c54da4f5"", ""api"": 4, ""actions"": 18, ""states"": 23, ""risk"": 6, ""redirect_only"": false}"
mental_health	app/mental-health/hub.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 4219, ""sha"": ""762946a87899"", ""api"": 0, ""actions"": 2, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 4361, ""sha"": ""96fc93d53826"", ""api"": 0, ""actions"": 4, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
mental_health	app/mental-health/index.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 168, ""sha"": ""b467c2aada79"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 168, ""sha"": ""b467c2aada79"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
mental_health	app/mental-health/meditation.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 13582, ""sha"": ""17198d15e91b"", ""api"": 4, ""actions"": 10, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 274, ""sha"": ""98f11b145564"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
mental_health	app/mental-health/mood-journal.tsx	MERGE_VERIFY_SAFETY_INTO_MAIN	"{""exists"": true, ""bytes"": 11712, ""sha"": ""8b85c4d92312"", ""api"": 3, ""actions"": 10, ""states"": 4, ""risk"": 11, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 12786, ""sha"": ""d92be00324fb"", ""api"": 3, ""actions"": 12, ""states"": 24, ""risk"": 6, ""redirect_only"": false}"
mental_health	app/mental-health/self-assessment.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 9873, ""sha"": ""37903a314008"", ""api"": 4, ""actions"": 12, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 264, ""sha"": ""a28e85a73d3a"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
mental_health	app/mental-health/therapist-match.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 8831, ""sha"": ""47db3e7158a3"", ""api"": 3, ""actions"": 10, ""states"": 1, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 272, ""sha"": ""1725c8a5e7e1"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/ai-meal-planner.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 18762, ""sha"": ""34607d2764dd"", ""api"": 4, ""actions"": 16, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 350, ""sha"": ""658c25c9c940"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/ai-plan-builder.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 11628, ""sha"": ""bb7489150a66"", ""api"": 3, ""actions"": 12, ""states"": 1, ""risk"": 5, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 225, ""sha"": ""f9eeccb49726"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/body-composition.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 5564, ""sha"": ""0dc82ff4e23e"", ""api"": 3, ""actions"": 5, ""states"": 0, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 238, ""sha"": ""0b9897024771"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/body-target.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 6114, ""sha"": ""4dce8bebc8b6"", ""api"": 3, ""actions"": 7, ""states"": 5, ""risk"": 3, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 7601, ""sha"": ""0d7a415ec004"", ""api"": 3, ""actions"": 3, ""states"": 18, ""risk"": 7, ""redirect_only"": false}"
nutrition	app/nutrition/calorie-analyzer.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 8510, ""sha"": ""dd2e7c8a19c4"", ""api"": 4, ""actions"": 7, ""states"": 2, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 226, ""sha"": ""6ad5406d9567"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/daily-tracker.tsx	VERIFY_CANDIDATE_REVIEW	"{""exists"": true, ""bytes"": 8558, ""sha"": ""23ac8fe10b0b"", ""api"": 3, ""actions"": 9, ""states"": 7, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 9356, ""sha"": ""bc760f670a54"", ""api"": 4, ""actions"": 11, ""states"": 24, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/exercise-plan.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 8094, ""sha"": ""112b40b4e286"", ""api"": 2, ""actions"": 5, ""states"": 15, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 243, ""sha"": ""a1ce179b3d8b"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/food-scanner.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 11693, ""sha"": ""4f13d0824e31"", ""api"": 3, ""actions"": 12, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 239, ""sha"": ""350a6804492a"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/hub.tsx	VERIFY_CANDIDATE_REVIEW	"{""exists"": true, ""bytes"": 4997, ""sha"": ""3a602bb3acdd"", ""api"": 0, ""actions"": 2, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 6219, ""sha"": ""4c8f095c3446"", ""api"": 3, ""actions"": 10, ""states"": 16, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/index.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 164, ""sha"": ""8cb5a3bba461"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 164, ""sha"": ""8cb5a3bba461"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/log-meal.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 11032, ""sha"": ""9961fcac8156"", ""api"": 4, ""actions"": 14, ""states"": 0, ""risk"": 3, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 6327, ""sha"": ""a165d65228d8"", ""api"": 2, ""actions"": 3, ""states"": 12, ""risk"": 6, ""redirect_only"": false}"
nutrition	app/nutrition/nutrition-plan.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 144, ""sha"": ""8b9644df8b6c"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 329, ""sha"": ""7c075daa4f22"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
nutrition	app/nutrition/water-tracker.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 8612, ""sha"": ""17021571c525"", ""api"": 3, ""actions"": 4, ""states"": 4, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 229, ""sha"": ""f7dbf23f9c9c"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
medication_reorder	app/pharmacy/reorder.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 8215, ""sha"": ""4b591796241f"", ""api"": 4, ""actions"": 13, ""states"": 8, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 8215, ""sha"": ""4b591796241f"", ""api"": 4, ""actions"": 13, ""states"": 8, ""risk"": 0, ""redirect_only"": false}"
profile	app/profile/addresses.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 5521, ""sha"": ""73cf41a063ff"", ""api"": 3, ""actions"": 4, ""states"": 4, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 5521, ""sha"": ""73cf41a063ff"", ""api"": 3, ""actions"": 4, ""states"": 4, ""risk"": 0, ""redirect_only"": false}"
profile	app/profile/edit.tsx	MAIN_KEEP_VERIFY_REDIRECT	"{""exists"": true, ""bytes"": 138, ""sha"": ""a9362180e311"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 138, ""sha"": ""a9362180e311"", ""api"": 0, ""actions"": 0, ""states"": 0, ""risk"": 0, ""redirect_only"": false}"
profile	app/profile/index.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 7230, ""sha"": ""78b896329c7f"", ""api"": 2, ""actions"": 8, ""states"": 1, ""risk"": 1, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 7230, ""sha"": ""78b896329c7f"", ""api"": 2, ""actions"": 8, ""states"": 1, ""risk"": 1, ""redirect_only"": false}"
profile	app/profile/insurance.tsx	MAIN_DEFAULT	"{""exists"": true, ""bytes"": 11273, ""sha"": ""91c5eebbcf8f"", ""api"": 5, ""actions"": 13, ""states"": 4, ""risk"": 4, ""redirect_only"": false}"	"{""exists"": true, ""bytes"": 11273, ""sha"": ""91c5eebbcf8f"", ""api"": 5, ""actions"": 13, ""states"": 4, ""risk"": 4, ""redirect_only"": false}"
medication_reminders	src/utils/medication-notifications.ts	VERIFY_CANDIDATE	"{""exists"": false}"	"{""exists"": true, ""bytes"": 14328, ""sha"": ""aae9a23a222b"", ""api"": 2, ""actions"": 0, ""states"": 2, ""risk"": 0, ""redirect_only"": false}"
