archive	member_path	sha256	line_count	kind	role	domain	status	fully_read	evidence
NabdProvider-provider.zip	src/api/catalogs.ts	7fa8eca5e18dee98bb50e4e9e8fb49d1b34b4729d3e270a9f1090b90e5701987	147	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/api/client.ts	cae9211d607b7838f0b52f9a5ab0880bcb3ad05054f34673b03e37b9ce6ca6b6	52	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/api/otp.ts	8d0cdd37a8b314585d6fc0f023e198d0dbdc96406f7e5054eded60ed686fbcea	27	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/api/provider.ts	5f30f4ee002b6db4c49df03b2c174959ceb66012e2ce039591873f5c4b02a09b	102	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/ContractModal.tsx	813beac15529a432a660f6563dea12274330f524b2be22db2225236bdc24be82	132	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/LocationPickerModal.tsx	a9d77a05620215e0936d16968e29a1dc7bc574ead27f23a1e78fcfece894bc03	129	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/OtpModal.tsx	ae0594d1da8ca4a460bbb580f793154f5437805aa18bf66814de24819e860921	185	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/PlatformMap.native.tsx	e18899d4217e5482ae0dba0be9e23496166bfd1cc58abe98b9e6b005eac7f59e	1	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/PlatformMap.tsx	e18899d4217e5482ae0dba0be9e23496166bfd1cc58abe98b9e6b005eac7f59e	1	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/PlatformMap.web.tsx	b9f9afb97ed7cbf680f18b8f965dcafc464e06c9134568f2645b40d6ccec26ee	16	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/SignatureCanvasModal.tsx	f111726c5cb4f64166dfcb7f78d53cf2c8aaa277a0c6465132c3c37788bd25be	89	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/SuccessScreen.tsx	286e1bd78b57da86c1bd25490300ec42ecfcd23194ed6a4304d90cb8e50f4d88	55	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/icons.tsx	fbc6ef58fecdb9d5a64953cb8ac84364e219f8371fa4b29d3d3f31bc159beab7	273	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/components/ui.tsx	4d987e9f56bd3f88939f5e8b14ba604b8127a676d32f60f95113acf8112cd4ac	1379	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/constants/index.ts	7c55b2ab1acfb565a7ad71046e451dd05024c7abfcbe18933029fe28f2328e2c	443	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/context/index.tsx	3c288ab0a29efb1f9e8fefe4088224ea3c5d4ff8de5130308f44a6205130c42d	449	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/polyfills.ts	9ef2a64dccbd655ab6367440f6130a64d9d3f92a80a47b3038397b71c6fce2f3	18	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/ambulance/AmbulanceDashboard.tsx	f678b853dbacc4d9173ebebaf2b70439ef26e6d89aab136e736f93bc7b7ade4e	461	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/ambulance/AmbulanceRegistration.tsx	0f6ec165362c07179af6a911b96e871c5b9e076fb8c4244c14fa920ff3620870	257	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/auth/AuthScreens.tsx	49231fcedae9b21cc156d69dd9e881c5191fdf5467350d2917dcbfddc908cefb	906	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/auth/PendingDashboard.tsx	f78bd95065bf73eb8fce5c64bfb4dd0bf2bbdad78ca8cbff1b2710b8900ee244	137	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/DoctorDashboard.tsx	2ed3b2b33a3cde7d365561778436b84abe237a5daccf5ca1a0c59335815944b0	4322	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/DoctorOpsScreens.tsx	c3ef6c3722aa3d589011fef38a717a6fdc2d0d31edf5d3376811479588e76ca1	334	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/DoctorRegistration.tsx	27a7093e1b6ecc2ee04a9acdcd0c83bd7b24c031707b54f3531c3465874bfce3	1129	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/FacilityInvitationsScreen.tsx	836bb3256eb15cf102cda6643b563f654673546d550d211d3b05a8d2f4fea183	133	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/components/DoctorHeader.tsx	2540d7329cc4614d440f93f3af1052a9e1cdaa80152bd3c34b51570aba7c04fa	79	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/components/DoctorQueueList.tsx	8806a3bcf936200d982823411a0a9d7154e217b0d537c5ad44701f0a451ecd63	106	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/components/DoctorStatsRow.tsx	9339a2b5a24a0186f4de4ce352b3dea1db289b96a127e8fc0d1981bcb5427df2	61	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/doctor/components/DoctorUrgentRequests.tsx	b76547430d1b27230e84b9e0730154742179ba2a4f7e7ec9a4c46cf4c9cd09b4	108	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/DischargeSummaryScreen.tsx	d3b426c588120d3178ecd2c88320498b7511c923ac65a0a08c8d6a0e61ca899c	171	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityAnnouncementsScreen.tsx	8b6f09493f5b9b155c2dfb28a03ab3731a6a53722d05a93b6a026fd71fc8f5ae	98	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityAuditLogScreen.tsx	f4835e692c52ca8903496085615b4aac82b89aea9666e04f1077edd8e1f15c53	59	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityDashboard.tsx	2393908aee819d18dd0c62a0b1a6adf5f34383c4a966e6a143aa734ca71a12fb	2472	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityInternalChatScreen.tsx	e24674b2fa1cd28bf10c828ac5c62ae7d17e8fad8cb416a5f4a0f49f3ebec6c5	126	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityInvitationScreen.tsx	1c4a76f9bf2eb576ab3af0de8b9f388dd24e22e43b4166418d0d9923a9ee86a7	147	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityLeaveRequestsScreen.tsx	0185d7bf6ae37fe566b60774b50e32c80d8eaf82916dd61ce2836648ae7ee562	105	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityPatientTrackerScreen.tsx	c4e2a3ed2e91ac53d2f88b142c4af55a8b1448b80818ff09bfe159377bd0eebb	79	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityProfileConfigScreen.tsx	ca2f44fbe4b882edcb7065499fa321b9ec31b34e85e8549fadfc2a5de7662e73	120	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityRegistration.tsx	af9cef5840c337b0f249438899b1347fbdc887ce35338c0e9135a06a44f6c4bb	1176	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityResourcesScreen.tsx	0b3239a7b6336724d9f1f9d5ecaa52d1984dc8dbe075797ad0df4f893a088bd2	150	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/facility/FacilityUnifiedCalendarScreen.tsx	725394aa34f8fa086355cf44f4e2defb5d0f37e922683604241e3d4f1830eca7	58	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/lab/LabDashboard.tsx	5598067bbd62c85020ff35de7804fefb6d444f48cc6fa01bb60da0809ca9f55f	1611	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/lab/LabQcActions.tsx	3afeb4a1d19d5cd5b7b75fbb2c502a1872e9d0f7f3d2693c9cce6be86a1285f7	158	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/lab/LabRegistration.tsx	57b60ff59e885e842e71cb7de47bb6d50412c24da23c3510ed03d8e92461b4bb	1858	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/nursing/NursingDashboard.tsx	0a11beb69e3d47f5cecf65095aabd329d5c66315ba66f865cfb22c997e72194d	1722	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/nursing/NursingFieldOps.tsx	54e0b309678416542033816ef0a2b427bf23d96b30eeec2b13d03069c92d931a	317	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/nursing/NursingRegistration.tsx	ad140044fe6dcd23996b0657d22202fa5cf86129d99499e9f61adb419f4f7538	1041	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/pharmacy/PharmacyDashboard.tsx	f0cbf70dac1ee4183f84080b039f783c553ad5a0fdee2811dac3e459750d6130	1755	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/pharmacy/PharmacyRegistration.tsx	0b55cd3ab0e2f82aeaea23ebbb1a7a6d5b0c5eebbcb8b53bb12201da9056c744	954	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/radiology/RadiologyDashboard.tsx	0d3e8c647db4a8c184f467fbf23ea24b23ab292e05bc4e04cc1dd1fb140de85f	563	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/radiology/RadiologyRegistration.tsx	c4dbe730524ee2230ccc49df48e6a5887af0a1e26fb1e99d38bd64e4a56fbdcb	1858	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/BlueprintScreens.tsx	f0684e7e1e24dccb0991c144e48c203843fd5d98eea514db6f2097838a5b8875	1408	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/FleetScreen.tsx	312f31308df6804fe7ab90af6ff91c383cd23d9e848d9ba79f28872df3e490b8	201	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/InsuranceRequestsScreen.tsx	ac809655973b76f48db7f6da1f69cf896860e4f545470e55dcb62f1ac86aae98	284	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/LiveKitRoomProvider.tsx	3a63053a168797a4f4f2ad3c6ca676ba9d8187ce651a1ca978dd46bafa7f26b6	79	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/PharmacyChatResponder.tsx	d7cd494ff03b93f67db0a310c09c508a074e899ebd6ee56ab670530ff8d98777	102	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/ProviderHome.tsx	c67cf757045bf0320048a20b4ddb3a758df9ae368c4feb986fd28b6e2d3beeb8	88	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/RealScreens.tsx	9b925666429223807ecd50bf6f36597016939cb7176b432fb43a15b617fcb431	410	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/RealScreensExtended.tsx	05a03ac4b21bbdc1a080d97e392581ceca97e68968fd3df76f415e16605fb408	507	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/RegistrationSuccess.tsx	0027df5ba2cc3849acdce143e6eba90fc16f12ba68bcc1c557da23f3a965ad7b	181	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/SharedScreens.tsx	38b739bf782fbcd618ddb2d9b7fdf4be627b420eba1b3ec2eff9658cf0024183	3097	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/screens/shared/VideoCallRoom.tsx	4b8518590d971c3fb3a18a77fa5de23d12084d55e7f8edd97d235b5a6a4e6ad6	252	OWNED_SOURCE_MEMBER	screen	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/security/Security.ts	2576de645b881d82931a48b78bba3b18c5699cea94447955c9e04fc0c5788d8b	327	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/services/HttpClient.ts	a37d90412435872af44051935bd1e3943e87a26a584f1056c06a9b0db2dff805	29	OWNED_SOURCE_MEMBER	service	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/services/NotificationService.ts	356067cbc33ae0d0796bb9dd337c4ba4f2ee24a16f820f82052892f2a9b4f720	6	OWNED_SOURCE_MEMBER	service	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/types/FacilityTypes.ts	d013ef6236265c7da5ea1e66910c2b227c4cc6e9ea77f9d1b8a100318c3ad0ba	72	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/types/contracts.ts	338ba19890e5a44b912c3fb4dac0a2411b338f185ff31327a412d2cdc7f5ef56	216	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/utils/PushNotifications.ts	3bd07a15a69daa856b4215f17b1a54bbb9b373b864c02880c8db762a156bca13	48	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/utils/api.ts	cffa2b2e4503d337bad609f9c083848019d8d4dee9a041b2cf8a975dfc995113	24	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/utils/dates.ts	862a9ca97012f04dec934dafeb2485d53272420720a0e6b76d0755fb3556cade	21	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/utils/imageUrl.ts	8110d355406eb2d82ed01a8109c5cbd46b3a4b3dfbbdb5de5cc7ee51d70fa829	43	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	src/utils/notifications.ts	c9db5a26cbf781bcd26b41f0dc523469d054b7c4dd4c76c5c8b38a2de2662854	145	OWNED_SOURCE_MEMBER	source/config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
NabdProvider-provider.zip	tsconfig.json	cabcd9ae0a201f231fe91e2fb8b14653173f2d72fa1aef559bee17715f8a98d6	26	OWNED_SOURCE_MEMBER	config	provider	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	.dockerignore	e91a593c113d2fc234947abc88265fea2894f618ccb0790cedd6c9e1ca583ec8	13	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	.env.production.example	f61af20bb6b52bd668c764b96f4b22d626bbdc6494d5961fbbfbad42493e54ad	17	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	.gitignore	b4572613f7e7b7827f8dd1c7543b03f903082ba146ebe8115dd9bd81aebd4bee	114	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	.gitkeep	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	.prettierignore	17f593918ed38aec9deac4301d519a4349172c649d1849ce17190cedbde33228	35	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	.prettierrc	087532218269eb851c22dcc3d5234ea46bfa513b494a3d7b167b1c1f48c410c5	15	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	Dockerfile	d90be2fbbdd19862c9a32dbb30e00678c74087c3894f70a59ca73c8c3fd07253	27	EXCLUSION_OTHER	non-source archive member	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	NABDAH_PROJECT_REFERENCE.md	cfeda7126d562bbf26a35af5913e2507421939522445fd33d17b544a3665ada0	1800	OWNED_SOURCE_MEMBER	source/config	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/appointments/[appointmentId]/appointment-detail.module.css	26207776f9441c3b46ae0ef7dd2f233cecb18041231c75e837bb377fdf40b01c	29	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/appointments/[appointmentId]/page.tsx	418eb47b4de91c87fb91106f4170d4e4ff88199ef3a397308bd35731fa718051	44	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/appointments/appointments-ssr.test.ts	a5906aaf05ce865d3cae10c0c115f63859512d37932a1f8cd441531088b71692	68	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/appointments/appointments.module.css	5d3df816447d22c923608d15b630f7b9e3fa168f2063de09fab8d88be6ecaaad	151	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/appointments/page.tsx	7b1a09373e4445d94dcc58467056cc4ca3601c7cc30266c4c24a4bc8b38a2792	43	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/articles/[slug]/page.tsx	6891bdb73512bc1d5ef6cddc24113ab95930d6fee771bc28ba4ec53f713b59ca	11	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/articles/articles.module.css	e03d921a0f2bb599bdb39c7df7bc9780b301273dcc85ca8173f0fbc094e8cb96	36	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/articles/bookmarks/page.tsx	661b44e7c0da0025083be561409c4d8698d9d817aac24e3987b047047b7b6fa4	12	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/articles/page.tsx	c079fdde4ec96f25eb5264fbdff7b2b665a466f9baf58be80048613d8da7b06e	11	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/cart/cart-ssr.test.ts	afbaf747d83841fbbd13d9ece3c1053704490241e702ae93175ec5f5654845b9	45	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
nabd-patient-web.zip	app/[locale]/cart/cart.module.css	a1465e28fd18b73edf10d0cc0057ba78e26d31e63068902540d732585c64bfa2	37	OWNED_SOURCE_MEMBER	screen	patient-web	INVENTORIED	NO	UNVERIFIED — semantic read not yet demonstrated for this member
