path,group,comparison_status,main_kind,workstation_kind,static_boundary
audit-artifacts/DEVICE_NabdProvider-android-build.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_NabdProvider-eas-build.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_NabdProvider-expo-config.json,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_NabdProvider-prebuild.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_NabdProvider-web-export.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_READINESS_REPORT_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_SCREEN_ROUTE_INVENTORY_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_VALIDATION_INVENTORY_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_nabd_plus-android-build.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_nabd_plus-eas-build.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_nabd_plus-expo-config.json,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_nabd_plus-prebuild.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/DEVICE_nabd_plus-web-export.out,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/EMERGENCY_LOCATION_POLICY_REVIEW_DRAFT_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/ERROR_CODE_REGISTRY_REVIEW_DRAFT_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/EXECUTION_COMPLETION_MATRIX_20260816.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/FULL_CLOSURE_BASELINE_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/FULL_E2E_BACKEND_ROUTE_CONTRACTS_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/FULL_PLAN_RECONCILIATION_WORKING_NOTES_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/FULL_PRODUCTION_E2E_TRACEABILITY_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/FULL_SYSTEMATIC_QA_EXECUTION_REGISTER_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/FULL_SYSTEMATIC_QA_FINAL_REPORT_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/INSURANCE_NETWORK_PROVENANCE_AUDIT_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/INSURANCE_OFFICIAL_SOURCE_FINDINGS_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/LABS_ENGINE_LEGACY_AUTH_DRIFT_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/LAB_CONTRACT_RECONCILIATION_BLOCKER_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/LAB_INBOX_ELIGIBILITY_SUMMARY_20260818.json,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_ACTUAL_API_CALLS_20260818.tsv,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_ACTUAL_API_RECONCILIATION_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_ACTUAL_API_ROUTE_MATCH_20260818.tsv,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_AGENT_TRANSITION_OPEN_WORK_AND_REMAINING_PHASES_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_BACKEND_COMPILED_ROUTES_20260818.tsv,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_BACKEND_DEPENDENCY_MIGRATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_BRANCH_COMPONENT_MAP_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_BRANCH_HISTORY_AND_APP_SCOPE_VERIFICATION_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_BUILD_ENVIRONMENT_GATE_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_CATALOG_GOVERNANCE_PUBLICATION_HARDENING_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_DEPENDENCY_REMEDIATION_FINAL_DOUBLE_CHECK_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_DIRECT_BACKEND_BUILD_ENV_BLOCKER_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_DIRECT_COMPONENT_INVENTORY_20260818.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_DIRECT_SOURCE_BRANCH_EVIDENCE_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_ENDPOINT_CONTROLLER_MATCH_20260818.tsv,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_ENDPOINT_CONTROLLER_RECONCILIATION_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_ENDPOINT_CONTROLLER_RECONCILIATION_20260818.tsv,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_EXPANDED_FULL_SYSTEMATIC_QA_MATRIX_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_EXPO_MIGRATION_METHOD_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_FINAL_PHASED_EXECUTION_PLAN_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_FINAL_REMEDIATION_AND_RELEASE_READINESS_20260815.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_FULL_PLAN_STATUS_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_GATEKEEPER_REMEDIATION_REPORT_20260817.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_HARDENING_BASELINE_AND_SAFE_CHANGE_POLICY_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_LIVE_RECONCILIATION_REGISTER_20260815.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_LOCALE_AND_MONGOOSE_INDEX_HARDENING_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_MAIN_VS_RECONCILIATION_COMPLETENESS_REPORT_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_MASTER_FULL_SYSTEMATIC_QA_AND_REMEDIATION_PLAN_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_MOBILE_DEPENDENCY_REMEDIATION_STATUS_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_NEW_REPOSITORY_BRANCH_INDEX_20260818.txt,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_OPENAPI_INSURANCE_CONTRACT_HARDENING_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_OWNER_REVIEWER_NEXT_ACTIONS_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PASTED_CONTENT_17_REQUIREMENTS_ANALYSIS_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PATIENT_EXPO_SDK57_MIGRATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE10_ADMIN_DEPENDENCY_AUDIT_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE10_DEPENDENCY_RISK_TRIAGE_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE10_FINAL_DOUBLE_CHECK_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE10_RELEASE_GATE_RECHECK_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE11_FINAL_DOUBLE_CHECK_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE11_PRESCRIPTIONS_AUTHORIZATION_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE11_SANDBOX_ACCEPTANCE_BOUNDARY_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE11_SANDBOX_READONLY_AUTHORIZATION_WAVE1_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE11_SANDBOX_READONLY_AUTHORIZATION_WAVE2_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE12_FINAL_PRODUCTION_READINESS_REPORT_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE13_CONTRACT_CLASSIFICATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE13_CONTRACT_INVENTORY_V4_20260819.json,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE13_CONTRACT_INVENTORY_V4_SUMMARY_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE13_EXIT_CRITERIA_REVIEW_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE13_UI_ACTION_INVENTORY_V2_20260819.json,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE13_UI_ACTION_INVENTORY_V2_SUMMARY_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE14_EXIT_CRITERIA_REVIEW_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE14_PROVIDER_CONTRACT_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE15_EXIT_CRITERIA_REVIEW_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE15_MIGRATION_INDEX_PREFLIGHT_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE15_REVIEWER_DEPLOYMENT_CANDIDATE_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_CONSULTATION_CASH_AUTOCONFIRM_P0_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_HOSPITAL_PROVIDER_ROLE_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_LAB_EMBEDDED_REPORT_CONTRACT_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_NURSING_AUTHORIZATION_P0_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_PRESCRIPTION_CONTRACT_AND_BOLA_REMEDIATION_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_PRESCRIPTION_DOCTOR_IDENTITY_P0_REMEDIATION_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_PROVIDER_SELF_PROFILE_IDENTITY_REMEDIATION_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE16_SANDBOX_EXECUTION_REGISTER_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE17_NATIVE_BUILD_AND_DEVICE_BLOCKERS_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE18_LOCALE_ACCESSIBILITY_TECHNICAL_ACCEPTANCE_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE19_FINAL_READINESS_VERDICT_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE19_RERUN_STATUS_AND_EXECUTABLE_BLOCKERS_20260820.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE1_MAIN_SOURCE_BASELINE_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_ADDRESS_CREATE_REMEDIATION_TESTS_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_CHRONIC_REFILL_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_CLOSURE_MATRIX_20260818.tsv,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_CONSULTATION_INSURANCE_FINANCIAL_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_DIAGNOSTICS_BOOKING_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_DIAGNOSTICS_LAB_RADIOLOGY_WORKFLOW_GAPS_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_FAMILY_CALENDAR_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_FAMILY_CHAT_MEMBERSHIP_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_FAMILY_PERMISSIONS_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_FINAL_CLOSURE_DOUBLE_CHECK_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_HOME_CARE_NURSING_WORKFLOW_CONTRACT_GAPS_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_INSURANCE_APPROVAL_PAYMENT_HANDOFF_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_INSURANCE_PAYMENT_SPLIT_MISSING_ROUTE_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_LOYALTY_REWARD_CONTRACT_GAPS_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MAIN_PATIENT_INVENTORY_AND_VERSION_DECISIONS_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MANUAL_FINDINGS_BATCH_01_20260818.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MATERNITY_CLINICAL_STATE_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MEDICAL_DATA_RISK_REVIEW_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MEDICAL_REPORT_VIEWER_AND_AI_CONTRACT_GAPS_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MEDICATION_REMINDER_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MONTHLY_REPORT_DATA_LOCALIZATION_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_MOOD_JOURNAL_CONTRACT_GAP_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
audit-artifacts/NABDAH_PHASE2_NO_EXACT_ROUTE_REVIEW_20260819.md,root_or_other,MAIN_ONLY,blob,,"Path/blob comparison only; it does not prove functional equivalence, security, or runtime behavior."
