surface	candidate_kind	source_path	sha256	line_count	action_lines	state_signal_lines	notes
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/insurance-upload.tsx	fea1029240afa878585e6cd6362341880827c6b80df633c38bdeedfc3d558a2a	427	160,175,187,213,258,273,281,298,305,320,344,363,382,387,392	55,60,73,138,345,364,368	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/test-detail.tsx	d2b802f4b9c76c90eaf533795bf692e356ca5ff597448749989536ae13983cf2	179	56,63,138,150,152	29,41,45	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/booking-confirm.tsx	3d5459f0d8ea8ad79516c632a20a1ec186b1a42011dbfd4a59b5f46a22988ae3	7	5	3	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/packages.tsx	c72bf81b33f14036eda674aacf1aef078b68b1e46ea7d41b2d84390d2ccd1ba2	248	49,82,110,111	22,36,98	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/book-sample.tsx	91b3e24e3f399b743a132571996129ebae210791c7da598d29315b8c97fe59fc	61	22,50	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/lab-comparison.tsx	be6969d1332218956a3c235675a57a4a3e45b14afee04e991b3263e9a299699f	273	55,56,59,82,91,185	27,42,55,119,197	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/checkout.tsx	0442d363b5d78c6ee6bb92148b2909a07e64d71db551e5c78596a577c7986d6d	7	5	3	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/package-detail.tsx	11aa30c1c77fd422fb393e0814faf1131fc2d1c6995e885175d6242ebeee0390	164	45,59,138	24,29,33	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/lab/[id].tsx	74e9c7dcb803136279a4ef8f944de8afbe7fe0a033939d75d543312f5b919adb	187	55,69,105,136,154	22,34,35,43	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/diagnostics/order/[id].tsx	72d16403e4e370024f2460b78f2007cade087a961e351a8736d3501724c30e98	311	57,78,98,138,191,206,216,266	21,22,56,61,62,76,84,92,105,106,107,180,187,188,190,191,212,216,224,250,258,273	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/medication-reminder-list.tsx	99997b0eae6b6a4e252a5f7deae8097bb33dcbc63ef43832a7047426f52d0481	90	70,75,76,86	29,30,71,75,76,86,89	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/smart-reminders.tsx	5232e24ffb7747c479108f278c6b2fde025ee77083589e06c3b68d92345a7e27	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/reminders.tsx	18d77cf12a8a534811105b570d41e37d53d9ae1ced8eee16f228cb1d5dbd2a3a	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/edit-profile.tsx	920cb8b9dc2234f4bc12dc292e98f9de311caf45e1429d92fadc902653758927	82	68,70,71,74	17,20,69,70,71,74,81	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/actionable-order.tsx	449ee980c3106eea0b9402b004e069c4873e85ea0f25a5193936e6946f7786ac	161	37,42,48,80,109,131	26,80,109	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/prescriptions.tsx	9ef8d4e8641ff68859c2dc281b7d259708f294c3ef0437dff9fdb9f846d701a7	146	42,44,69,76	21,29,42	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/medication-reminder-add.tsx	81075056982b888ce5d0276024781cbfa4e6e3f483e812040a8db8c4f7001520	82	60,66,70,75	25,67,68,75,81	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/health-id.tsx	1d0cfcbe85f1375d9ff9d77ba18ce6435acb60041e4d167825b2d61dc34027d3	285	86,88,199,213,246	28,75,92	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/chronic-medications.tsx	242f7c413ac96d189e7338a0603c0fa4522fc5258c87f2eef94bf0254776aa98	73	42,50,53,54,63	19,20,37,40,42,51,53,54,60,63,72	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/sleep-score.tsx	0b972641a26c3a5ca94341b9a5764cc34625da62628e7739d3cfe98586ff9987	181	69,83,117	26,27,73,79,82	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/add-family-member.tsx	69716690afd154c68e623e5aa6a5d0601feff85301e0b8ee6ce89a85c2a02911	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/refills.tsx	3dcadb43d62d56716943b81dfb8a44c50c062d1924fbcb98fdac4259cc8c3dfa	204	65,77,87,107,130,177	20,43,62,77,87,125,126,128,133,139,176	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/conditions-allergies.tsx	d70f0c111035eaa026c7e11e36671e7faf57d6029a01f6f33f2bf7472463f9d3	62	47,50,58	19,20,48,50,58,61	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/chronic-disease.tsx	2e5d37000b3ac504569b42a1da40ff05d43a7da2199806296f64104283205765	204	44,46,64,141,173	20,32	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/family-hub.tsx	a3909cdc8ff722429053f57d0a6f51e5cc0ea11d31507b8d5c8bf7bab9733b85	334	142,188,194,208,231,232,263,264,274,283	69,105,111,147,187	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/family-chat.tsx	fbe7857fbf0f9ea4e42dee542c2dff6335acfcd91b747cafa6d266a5a411d8b1	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/sleep-tracker.tsx	4fc1144907762ea4811675a71091f2c7167c0fc27b5701506a48256b034b4c9e	220	98,107,180	25,26,84,103,106,180	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/trends.tsx	a08673281a04cd407c8df123d835fc51b3ddea7a9bba44c272c56d154fa76a44	680	160,203,223,265,350,464,503	136,144,153	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/family-member-detail.tsx	f21dc80e027271dee8cc50e3bc333269f8692bb078c228654de9eb2c27eaad76	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/emergency-contacts.tsx	9b025b3e7088176b64534a8c1bded963ff299af540ec495f34f4d8b00f44f2fe	281	81,105,111,139,145,200,206	29,41,77,117,118	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/reports.tsx	6574f0052e1e3dd7fa7e927ee524ef8cd31dbea8f3b30996a6cc46270ea91652	33	27,28	15,16,28,32	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/medications.tsx	e0defff9a005743d3728283015d5de0448c7367cb40db590a8c457dcbee2be06	66	37,39,50,51,52,53,54,55,60,62	18,19,41,50,65	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/family-calendar.tsx	63488ba6ac5a338926abe399617d46782644470ea317a5890eb0fa0861924307	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/vitals-log.tsx	bbc0288d2d3bf15d89464a704fa44cea962fa66ad974c58e9eeab43162407d56	68	56,58,60,61,63	24,26,60,61,63,67	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/wearables.tsx	bdbf4af9ffcd414caba71dea8ffba9ef98ffef020f8c4bda89c6172f7a19b28f	233	97,99,172	39,51,110,113,134	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/health/vitals.tsx	e28f1ae977a28b4ed32fe284f675054eff9ee0668f8ada3e0d001d205f0ac050	53	39,42,43,44,45,46,47	21,22,40,42,43,52	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/reviews/index.tsx	58497e2a9618db032f00b99080c92b1fadd4777afc88e6724afd6e8da64d6c0c	334	99,126,160,200,219	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/mood-journal.tsx	1844cf68b1c3bf6623e58db2d9e5d0dccadb11a039353a432d75ab19306bd784	134	83,91,99,111,118,121	37,91,121,132	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/index.tsx	b467c2aada7990454331798bfaa8b4bc7b424c93549e14ad2790b6154f1c418c	8	6	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/hub.tsx	96fc93d538263877285a915572939d0e8b0fce7e337f4d11989f31fcaed1862d	72	26,40	26	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/meditation.tsx	98f11b145564e23271bb11d784d5ef6ef47e19036edae5ccb033dbbfed8263ea	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/breathing.tsx	9da58e476a9f23a3d9fa17d7bc6b71859ffc766f04a85565e8d24059f68c685a	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/therapist-match.tsx	1725c8a5e7e15367f0fe4d3ef388f207c5f31d52512fbce0c685ee0ad4b881e3	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/crisis-support.tsx	bc22c54da4f5276c3f4a76782861caa73bc160874b0dfebd129883a13877c358	89	59,67,68,69,74,76,80	18,59,76,80,87	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/mental-health/self-assessment.tsx	a28e85a73d3a4f2a8a890cc6b6a44e2e78fd26c1a05399435481e99ad456d678	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/articles/index.tsx	d8c8a8004295468bf49b392951ff83db0063df167470f69ac960e3632068aa99	215	86,88,115,141,158	33,34,133,137,140	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/articles/bookmarks.tsx	80f15ba95db7a0c7dedeb35274267e9e62d58cd45048515a7c6b574fbec8787a	119	59,70,78,86	25,26,62,66,69	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/articles/[slug].tsx	e35a6ae3ba41b44894f68bbf9f1999cfba23f43d77c21b186a9f1844e641e1fb	200	84,103,104,109,164	28,29,40,71,79,83	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/drug-scanner/index.tsx	86ebd18fa847d396f1c5f64839d86f187c9613c290442b4764db4d0cceef3839	264	91,107,135,147,199,203	41	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/hub.tsx	cba131a48ea91b43bad1661bfdbdc2ba34cc9a8e7f22c78832ccb84381f77e6f	26	20	16,17,20,25	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/ovulation-tracker.tsx	3499b763ecc9f5da37ff87f6ddf8be551cc11b52bfbf5283559bacfba4f23642	4	3	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/pregnancy-tracker.tsx	fc8ae6098620a6ce9e10b537ff427cb9eff0a32274da9ec0ab2883701857ce21	4	3	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/maternity-setup.tsx	e0aa4f39e9f62d77644b087517e001b2d2ae2ec56dc8e69834e7ac4fe0055e59	19	15,16	14,16,18	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/baby-development.tsx	7665fd8bcc2b2ad856a115473b0bcb10cfc9dabbd4f6494144f955f5de708a83	4	3	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/fetus-data.ts	def8d25461322e3b90e6d2087394a6ff565357e0e40e920c62aac5fdcc4256f0	176	NONE	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/maternity/baby-growth.tsx	8ec294db2f5a168388e21578bbfcf443ab856e6202be77bb8c6a3c502af0c235	4	3	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/room/[id].tsx	fd8546f51586a25fe7be54e6ec20c14eac36a8de36d868929c3e5728759caf44	296	114,125,132,181	36,148,163,175,178,180,280,286	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/orders/index.tsx	fe4853360b1a19fe3a20d1423dbcbd7daecaad66c0a0fff515066b67c34baf61	287	195,207,222,257	41,48,69,85,109,141,145,221,229	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/nutrition/calorie-analyzer.tsx	6ad5406d95673c260515cbe23fd0d8fe20043d5db250160eecb56530e0529f10	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/nutrition/food-scanner.tsx	350a6804492a5a00d7d858f7a8b600770cb88d745248ef17348995f58558845b	7	5	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
patient-mobile	SCREEN_OR_ROUTE_CANDIDATE	app/nutrition/nutrition-plan.tsx	7c075daa4f22238e075da58491633abb63cc344dcffcdae4a5dedd5767d2d45d	10	8	NONE	Candidate only; requires human route/screen/action confirmation. No parity claim.
