surface	file	line	kind	target_or_expression	source
mobile	app/(auth)/otp.tsx	85	navigation	{ pathname: '/(auth	router.replace({ pathname: '/(auth)/reset-password', params: { email: emailParam } });
mobile	app/(auth)/otp.tsx	90	api-call	'/auth/register'	const regRes = await apiFetch('/auth/register', {
mobile	app/(auth)/otp.tsx	134	navigation	'/(auth	router.replace('/(auth)/provider-info' as any);
mobile	app/(auth)/otp.tsx	136	navigation	'/(tabs	router.replace('/(tabs)');
mobile	app/(auth)/otp.tsx	150	button/onPress		<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
mobile	app/(auth)/otp.tsx	193	button/onPress		<TouchableOpacity onPress={() => { setTimer(60); setOtp(['', '', '', '', '', '']); }}>
mobile	app/(auth)/otp.tsx	200	button/onPress		onPress={handleConfirm}
mobile	app/(auth)/privacy.tsx	70	api-call	"`${BASE_URL}/legal/policy/privacy_policy?lang=${AR ? ""ar"" : ""en""}`"	"fetch(`${BASE_URL}/legal/policy/privacy_policy?lang=${AR ? ""ar"" : ""en""}`)"
mobile	app/(auth)/privacy.tsx	94	button/onPress		onPress={() => router.back()}
mobile	app/(auth)/provider-info.tsx	15	navigation	"""/(tabs"	"router.replace(""/(tabs)"");"
mobile	app/(auth)/provider-info.tsx	19	navigation	"""/(auth"	"router.replace(""/(auth)/login"");"
mobile	app/(auth)/provider-info.tsx	62	button/onPress		onPress={handleContinueAsPatient}
mobile	app/(auth)/provider-info.tsx	65	button/onPress		<TouchableOpacity onPress={handleLogout} style={st.logoutBtn}>
mobile	app/(auth)/register.tsx	44	button/onPress		<TouchableOpacity onPress={() => setShowPassword(!showPassword)} style={{ padding: 10 }}>
mobile	app/(auth)/register.tsx	112	api-call	'/auth/social-login'	const res = await apiFetch('/auth/social-login', {
mobile	app/(auth)/register.tsx	124	navigation	'/(auth	router.replace('/(auth)/provider-info' as any);
mobile	app/(auth)/register.tsx	126	navigation	'/(tabs	router.replace('/(tabs)');
mobile	app/(auth)/register.tsx	168	api-call	'/auth/send-otp'	await apiFetch('/auth/send-otp', {
mobile	app/(auth)/register.tsx	175	navigation	{	router.push({
mobile	app/(auth)/register.tsx	210	button/onPress		<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
mobile	app/(auth)/register.tsx	267	button/onPress		<TouchableOpacity onPress={() => setAgreed(!agreed)} style={{ flexDirection: isRTL ? 'row-reverse' : 'row', alignItems: 'flex-start', flexShrink: 0 }} activeOpacity={0.8}>
mobile	app/(auth)/register.tsx	273	button/onPress	'/(auth	أوافق على <LocalizedText onPress={() => router.push('/(auth)/terms')} style={{ color: resolveColor('var(--p)', isDark), fontWeight: '800' }}>الشروط والأحكام</LocalizedText> و<LocalizedText onPress={() => router.push('/(auth)/privacy')} style={{ color: resolveColor('var(--p)', isDark), fontWeight: '800' }}>سياسة الخصوصية</LocalizedText>
mobile	app/(auth)/register.tsx	284	button/onPress		onPress={handleRegister}
mobile	app/(auth)/register.tsx	300	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
mobile	app/(auth)/register.tsx	306	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
mobile	app/(auth)/register.tsx	312	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
mobile	app/(auth)/register.tsx	317	button/onPress		<TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
mobile	app/(auth)/register.tsx	324	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/login')}>
mobile	app/(auth)/reset-password.tsx	34	api-call	"""/auth/reset-password"""	"await apiFetch(""/auth/reset-password"", {"
mobile	app/(auth)/reset-password.tsx	77	button/onPress	"""/(auth"	"onPress={() => router.replace(""/(auth)/login"")}"
mobile	app/(auth)/reset-password.tsx	102	button/onPress		"<IconButton icon=""back"" onPress={() => router.back()} />"
mobile	app/(auth)/reset-password.tsx	137	button/onPress		onPress={handleReset}
mobile	app/(auth)/terms.tsx	66	api-call	"`${BASE_URL}/legal/policy/patient_terms?lang=${AR ? ""ar"" : ""en""}`"	"fetch(`${BASE_URL}/legal/policy/patient_terms?lang=${AR ? ""ar"" : ""en""}`)"
mobile	app/(auth)/terms.tsx	90	button/onPress		onPress={() => router.back()}
mobile	app/(auth)/welcome.tsx	28	api-call	'/auth/guest'	const res = await apiFetch('/auth/guest', { method: 'POST', body: JSON.stringify({ deviceId }) });
mobile	app/(auth)/welcome.tsx	32	navigation	'/(tabs	router.push('/(tabs)');
mobile	app/(auth)/welcome.tsx	45	navigation	'/(tabs	if (screen === 'sH') router.push('/(tabs)');
mobile	app/(auth)/welcome.tsx	46	navigation	'/(auth	else if (screen === 's86') router.push('/(auth)/register');
mobile	app/(auth)/welcome.tsx	47	navigation	'/(auth	else if (screen === 's85') router.push('/(auth)/login');
mobile	app/(auth)/welcome.tsx	101	button/onPress		onPress={toggleDark}
mobile	app/(auth)/welcome.tsx	109	button/onPress		onPress={() => setLangModalVisible(true)}
mobile	app/(auth)/welcome.tsx	119	button/onPress		<TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)', justifyContent: 'center', alignItems: 'center' }} activeOpacity={1} onPress={() => setLangModalVisible(false)}>
mobile	app/(auth)/welcome.tsx	124	button/onPress		style={{ paddingVertical: 12, paddingHorizontal: 16, flexDirection: isRTL ? 'row-reverse' : 'row', justifyContent: 'space-between', alignItems: 'center', borderRadius: 8, backgroundColor: lang === l.code ? colors.bg : 'transparent' }} onPress={() => { changeLang(l.code); setLangModalVisible(false); }}
mobile	app/(auth)/welcome.tsx	149	button/onPress		onPress={handleGuestLogin}
mobile	app/(auth)/welcome.tsx	157	button/onPress		onPress={() => go('s86')}
mobile	app/(auth)/welcome.tsx	165	button/onPress		onPress={() => go('s85')}
mobile	app/(auth)/welcome.tsx	182	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
mobile	app/(auth)/welcome.tsx	188	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
mobile	app/(auth)/welcome.tsx	194	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
mobile	app/(auth)/welcome.tsx	199	button/onPress	'/(auth	<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
mobile	app/(onboarding)/_layout.tsx	6	screen-registration		"<Stack.Screen name=""index"" />"
mobile	app/(onboarding)/_layout.tsx	7	screen-registration		"<Stack.Screen name=""language"" />"
mobile	app/(onboarding)/_layout.tsx	8	screen-registration		"<Stack.Screen name=""permissions"" />"
mobile	app/(onboarding)/index.tsx	87	navigation	'/(onboarding	router.replace('/(onboarding)/language');
mobile	app/(onboarding)/index.tsx	97	navigation	'/(onboarding	router.replace('/(onboarding)/language');
mobile	app/(onboarding)/index.tsx	167	button/onPress		<TouchableOpacity onPress={handleSkip} style={styles.skipBtn}>
mobile	app/(onboarding)/index.tsx	202	button/onPress		<TouchableOpacity onPress={handleNext} activeOpacity={0.85}>
mobile	app/(onboarding)/language.tsx	40	button/onPress		onPress={() => setSelected(l.code)}
mobile	app/(onboarding)/language.tsx	58	button/onPress	'/(auth	"<Button label=""متابعة"" variant=""gradient"" size=""lg"" iconRight=""chevronLeft"" onPress={() => { setLang(selected); router.replace('/(auth)/welcome'); }} />"
mobile	app/(onboarding)/permissions.tsx	74	navigation	"""/(auth"	"router.replace(""/(auth)/welcome"");"
mobile	app/(onboarding)/permissions.tsx	101	button/onPress		onPress={() => handleGrant(perm.id)}
mobile	app/(onboarding)/permissions.tsx	173	button/onPress		onPress={handleContinue}
mobile	app/(onboarding)/permissions.tsx	175	button/onPress		<TouchableOpacity onPress={handleContinue} style={{ marginTop: 8 }}>
mobile	app/(tabs)/consultations/index.tsx	33	navigation	`/consultations/doctor/${params?.doc?.id || params?.id || 'd1'}`	router.push(`/consultations/doctor/${params?.doc?.id || params?.id || 'd1'}`);
mobile	app/(tabs)/consultations/index.tsx	35	navigation	'/ai-assistant'	router.push('/ai-assistant');
mobile	app/(tabs)/consultations/index.tsx	66	api-call	'/providers?type=doctor'	const data = await apiFetch('/providers?type=doctor');
mobile	app/(tabs)/consultations/index.tsx	93	api-call	'/care/specialties'	apiFetch('/care/specialties')
mobile	app/(tabs)/consultations/index.tsx	99	api-call	'/home/offers'	apiFetch('/home/offers')
mobile	app/(tabs)/consultations/index.tsx	105	api-call	'/insurance/companies'	apiFetch('/insurance/companies')
mobile	app/(tabs)/consultations/index.tsx	116	api-call	`/insurance/companies/${insCompany}/networks`	apiFetch(`/insurance/companies/${insCompany}/networks`)
mobile	app/(tabs)/consultations/index.tsx	220	button/onPress		onPress={() => setShowFilter(true)}
mobile	app/(tabs)/consultations/index.tsx	231	button/onPress		<TouchableOpacity key={vt.id} activeOpacity={0.8} style={[styles.vtBtn, { backgroundColor: isActive ? resolveColor('var(--p)') : colors.s, borderColor: isActive ? resolveColor('var(--p)') : colors.bd }]} onPress={() => setActiveVt(vt.id)}>
mobile	app/(tabs)/consultations/index.tsx	241	button/onPress		<TouchableOpacity style={[styles.segmentBtn, activePay === 'الكل' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => setActivePay('الكل')}>
mobile	app/(tabs)/consultations/index.tsx	244	button/onPress		<TouchableOpacity style={[styles.segmentBtn, activePay === 'كاش' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => setActivePay('كاش')}>
mobile	app/(tabs)/consultations/index.tsx	247	button/onPress		<TouchableOpacity style={[styles.segmentBtn, activePay === 'تأمين' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => { setActivePay('تأمين'); setStepIns(1); setShowInsModal(true); }}>
mobile	app/(tabs)/consultations/index.tsx	257	button/onPress	'/consultations/specialty-select'	<TouchableOpacity onPress={() => router.push('/consultations/specialty-select')}><LocalizedText style={{ fontSize: 12, fontWeight: '700', color: resolveColor('var(--pd)') }}>عرض الكل</LocalizedText></TouchableOpacity>
mobile	app/(tabs)/consultations/index.tsx	260	button/onPress		<TouchableOpacity activeOpacity={0.7} onPress={() => setActiveSpec('الكل')} style={[styles.specBtn, { backgroundColor: activeSpec === 'الكل' ? colors.n : colors.s, borderColor: activeSpec === 'الكل' ? colors.n : colors.bd }]}>
mobile	app/(tabs)/consultations/index.tsx	270	button/onPress		<TouchableOpacity key={s.slug || i} activeOpacity={0.7} onPress={() => setActiveSpec(isActive ? 'الكل' : s.name_ar)} style={[styles.specBtn, { backgroundColor: isActive ? resolveColor(meta[2]) : colors.s, borderColor: isActive ? resolveColor(meta[1]) : colors.bd }]}>
mobile	app/(tabs)/consultations/index.tsx	286	button/onPress	'/consultations/doctor-search'	<TouchableOpacity onPress={() => router.push('/consultations/doctor-search')}><LocalizedText style={{ fontSize: 12, fontWeight: '700', color: resolveColor('var(--pd)') }}>عرض الكل</LocalizedText></TouchableOpacity>
mobile	app/(tabs)/consultations/index.tsx	293	button/onPress		<TouchableOpacity key={i} activeOpacity={0.9} style={[styles.docCard, { backgroundColor: colors.s, borderColor: colors.bd, overflow: 'hidden' }]} onPress={() => go('s5', doc.n, { doc })}>
mobile	app/(tabs)/consultations/index.tsx	360	button/onPress		<TouchableOpacity onPress={() => go('s5', doc.n, { doc })} style={{ paddingVertical: 7, paddingHorizontal: 16, borderRadius: 11, backgroundColor: colors.s }}>
mobile	app/(tabs)/consultations/index.tsx	374	button/onPress	'/offers'	<TouchableOpacity onPress={() => router.push('/offers')}><LocalizedText style={{ fontSize: 12, fontWeight: '700', color: resolveColor('var(--pd)') }}>عرض الكل</LocalizedText></TouchableOpacity>
mobile	app/(tabs)/consultations/index.tsx	378	button/onPress	`/offers/${p.id}`	<TouchableOpacity key={p.id || i} activeOpacity={0.9} onPress={() => p.id && router.push(`/offers/${p.id}`)} style={[styles.promoCard, { backgroundColor: colors.s, borderColor: colors.bd } ]}>
mobile	app/(tabs)/consultations/index.tsx	402	button/onPress	'/consultations/doctor-search'	<TouchableOpacity onPress={() => router.push('/consultations/doctor-search')}><LocalizedText style={{ fontSize: 12, fontWeight: '700', color: resolveColor('var(--pd)') }}>عرض الكل</LocalizedText></TouchableOpacity>
mobile	app/(tabs)/consultations/index.tsx	412	button/onPress		<TouchableOpacity key={i} activeOpacity={0.9} style={[styles.docCard, { backgroundColor: colors.s, borderColor: colors.bd, overflow: 'hidden' }]} onPress={() => go('s5', doc.n, { doc })}>
mobile	app/(tabs)/consultations/index.tsx	482	button/onPress		<TouchableOpacity onPress={() => go('s5', doc.n, { doc })} style={{ paddingVertical: 7, paddingHorizontal: 16, borderRadius: 11, backgroundColor: colors.s }}>
mobile	app/(tabs)/consultations/index.tsx	490	button/onPress	'/consultations/doctor-search'	<TouchableOpacity onPress={() => router.push('/consultations/doctor-search')} style={{ alignItems: 'center', paddingVertical: 12, borderRadius: 12, backgroundColor: colors.s, borderWidth: 1, borderColor: colors.bd }}>
mobile	app/(tabs)/consultations/index.tsx	502	button/onPress		<TouchableOpacity onPress={() => { setFilterSort('الأعلى تقييماً'); setFilterTitle('الكل'); setFilterGender('الكل'); setFilterPrice('الكل'); setFilterAvail('الكل'); }}>
mobile	app/(tabs)/consultations/index.tsx	506	button/onPress		<TouchableOpacity onPress={() => setShowFilter(false)}>
mobile	app/(tabs)/consultations/index.tsx	515	button/onPress		<TouchableOpacity key={t} onPress={() => setFilterSort(t)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterSort === t ? resolveColor('var(--p)') : colors.s, marginRight: isRTL ? 0 : 8, marginLeft: isRTL ? 8 : 0, marginBottom: 8, borderWidth: 1, borderColor: filterSort === t ? resolveColor('var(--p)') : colors.bd }}>
mobile	app/(tabs)/consultations/index.tsx	524	button/onPress		<TouchableOpacity key={t} onPress={() => setFilterTitle(t)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterTitle === t ? resolveColor('var(--p)') : colors.s, marginRight: isRTL ? 0 : 8, marginLeft: isRTL ? 8 : 0, marginBottom: 8, borderWidth: 1, borderColor: filterTitle === t ? resolveColor('var(--p)') : colors.bd }}>
mobile	app/(tabs)/consultations/index.tsx	533	button/onPress		<TouchableOpacity key={g} onPress={() => setFilterGender(g)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterGender === g ? resolveColor('var(--p)') : colors.s, marginRight: isRTL ? 0 : 8, marginLeft: isRTL ? 8 : 0, marginBottom: 8, borderWidth: 1, borderColor: filterGender === g ? resolveColor('var(--p)') : colors.bd }}>
mobile	app/(tabs)/consultations/index.tsx	542	button/onPress		<TouchableOpacity key={p} onPress={() => setFilterPrice(p)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterPrice === p ? resolveColor('var(--p)') : colors.s, marginRight: isRTL ? 0 : 8, marginLeft: isRTL ? 8 : 0, marginBottom: 8, borderWidth: 1, borderColor: filterPrice === p ? resolveColor('var(--p)') : colors.bd }}>
mobile	app/(tabs)/consultations/index.tsx	551	button/onPress		<TouchableOpacity key={a} onPress={() => setFilterAvail(a)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterAvail === a ? resolveColor('var(--p)') : colors.s, marginRight: isRTL ? 0 : 8, marginLeft: isRTL ? 8 : 0, marginBottom: 8, borderWidth: 1, borderColor: filterAvail === a ? resolveColor('var(--p)') : colors.bd }}>
mobile	app/(tabs)/consultations/index.tsx	557	button/onPress		<TouchableOpacity style={{ backgroundColor: resolveColor('var(--p)'), padding: 16, borderRadius: 16, alignItems: 'center', marginTop: 16 }} onPress={() => setShowFilter(false)}>
mobile	app/(tabs)/consultations/index.tsx	572	button/onPress		<TouchableOpacity onPress={() => setStepIns(1)}>
mobile	app/(tabs)/consultations/index.tsx	579	button/onPress		<TouchableOpacity onPress={() => setShowInsModal(false)}>
mobile	app/(tabs)/consultations/index.tsx	588	button/onPress		onPress={() => { setInsCompany(''); setInsClass(''); setShowInsModal(false); }} style={{ padding: 16, backgroundColor: !insCompany ? resolveColor('var(--p)') : colors.s, borderRadius: 12, marginBottom: 8, borderWidth: 1, borderColor: !insCompany ? resolveColor('var(--p)') : colors.bd }}
mobile	app/(tabs)/consultations/index.tsx	597	button/onPress		onPress={() => { setInsCompany(companyId); setInsClass(''); setStepIns(2); }} style={{ padding: 16, backgroundColor: selected ? resolveColor('var(--p)') : colors.s, borderRadius: 12, marginBottom: 8, borderWidth: 1, borderColor: selected ? resolveColor('var(--p)') : colors.bd }}
mobile	app/(tabs)/consultations/index.tsx	610	button/onPress		onPress={() => { setInsClass(networkId); setShowInsModal(false); }} style={{ padding: 16, backgroundColor: selected ? resolveColor('var(--p)') : colors.s, borderRadius: 12, marginBottom: 8, borderWidth: 1, borderColor: selected ? resolveColor('var(--p)') : colors.bd }}
mobile	app/(tabs)/consultations/index.tsx	653	button/onPress		style={{ backgroundColor: resolveColor('var(--p)'), width: '100%', paddingVertical: 16, borderRadius: 16, alignItems: 'center', marginTop: 12 }} onPress={() => setShowOnboarding(false)}
mobile	app/(tabs)/diagnostics.tsx	59	api-call	'/labs/packages'	apiFetch('/labs/packages').catch(() => ({ data: [] })),
mobile	app/(tabs)/diagnostics.tsx	60	api-call	'/labs/services'	apiFetch('/labs/services').catch(() => ({ data: [] })),
mobile	app/(tabs)/diagnostics.tsx	61	api-call	'/radiology/services'	apiFetch('/radiology/services').catch(() => ({ data: [] })),
mobile	app/(tabs)/diagnostics.tsx	62	api-call	'/providers?type=lab'	apiFetch('/providers?type=lab').catch(() => ({ data: [] }))
mobile	app/(tabs)/diagnostics.tsx	96	button/onPress		onPress={() => (router.push as any)('/diagnostics/orders')}
mobile	app/(tabs)/diagnostics.tsx	118	button/onPress		<TouchableOpacity onPress={() => setSearchQuery('')} style={{ marginHorizontal: 8 }}>
mobile	app/(tabs)/diagnostics.tsx	122	button/onPress		<TouchableOpacity onPress={() => setShowFilters(true)}>
mobile	app/(tabs)/diagnostics.tsx	131	button/onPress		onPress={() => setMainTab('labs')}
mobile	app/(tabs)/diagnostics.tsx	139	button/onPress		onPress={() => setMainTab('radiology')}
mobile	app/(tabs)/diagnostics.tsx	150	button/onPress		onPress={() => setServiceType('home')}
mobile	app/(tabs)/diagnostics.tsx	158	button/onPress		onPress={() => setServiceType('clinic')}
mobile	app/(tabs)/diagnostics.tsx	180	button/onPress		<TouchableOpacity onPress={() => (router.push as any)('/delivery/address-select')}>
mobile	app/(tabs)/diagnostics.tsx	188	button/onPress		<TouchableOpacity style={styles.insuranceCard} onPress={() => (router.push as any)('/diagnostics/insurance-upload')}>
mobile	app/(tabs)/diagnostics.tsx	207	button/onPress		<TouchableOpacity onPress={() => (router.push as any)('/diagnostics/packages')}>
mobile	app/(tabs)/diagnostics.tsx	215	button/onPress		<TouchableOpacity style={[styles.pkgCard, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/package-detail?id=${pkg.id}&serviceType=${serviceType}`)}>
mobile	app/(tabs)/diagnostics.tsx	248	button/onPress		<TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${test.id}`)}>
mobile	app/(tabs)/diagnostics.tsx	270	button/onPress		onPress={() => addItem({ id: test.id, name: test.name, price: typeof test.price === 'string' ? parseInt(test.price) : test.price, kind: 'lab' })}
mobile	app/(tabs)/diagnostics.tsx	291	button/onPress		<TouchableOpacity style={[styles.labCard, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/lab/${lab.id}`)}>
mobile	app/(tabs)/diagnostics.tsx	306	button/onPress		<TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${test.id}`)}>
mobile	app/(tabs)/diagnostics.tsx	328	button/onPress		onPress={() => addItem({ id: test.id, name: test.name, price: parseInt(test.price), kind: 'lab' })}
mobile	app/(tabs)/diagnostics.tsx	358	button/onPress		<TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${rad.id}&isRadiology=true`)}>
mobile	app/(tabs)/diagnostics.tsx	374	button/onPress		onPress={() => (router.push as any)({ pathname: '/diagnostics/checkout', params: { serviceType, labName: rad.name, total: String(rad.price || ''), isRadiology: 'true', radiologyType: rad.name, serviceId: rad.id } })}
mobile	app/(tabs)/diagnostics.tsx	394	button/onPress		onPress={() => (router.push as any)('/diagnostics/cart')}
mobile	app/(tabs)/diagnostics.tsx	410	button/onPress		<TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)' }} onPress={() => setShowFilters(false)} />
mobile	app/(tabs)/diagnostics.tsx	428	button/onPress		onPress={() => { setActiveFilter(f.id); setShowFilters(false); }} style={[styles.filterOptionRow, { borderColor: activeFilter === f.id ? colors.primary : colors.border, backgroundColor: activeFilter === f.id ? `${colors.primary}10` : colors.background }]} >
mobile	app/(tabs)/health.tsx	103	api-call	"""/health/vitals/summary"""	"apiFetch(""/health/vitals/summary"").catch(() => null),"
mobile	app/(tabs)/health.tsx	104	api-call	"""/health/score"""	"apiFetch(""/health/score"").catch(() => null),"
mobile	app/(tabs)/health.tsx	105	api-call	'/home/upcoming-appointment'	apiFetch('/home/upcoming-appointment').catch(() => null)
mobile	app/(tabs)/health.tsx	113	api-call	`/nutrition/daily-summary?date=${new Date(	"const waterRes = await apiFetch(`/nutrition/daily-summary?date=${new Date().toISOString().split(""T"")[0]}`).catch(() => null);"
mobile	app/(tabs)/health.tsx	150	button/onPress	"""/health/health-id"""	"onPress={() => router.push(""/health/health-id"")}"
mobile	app/(tabs)/health.tsx	161	button/onPress	"""/health/edit-profile"""	"onPress={() => router.push(""/health/edit-profile"")}"
mobile	app/(tabs)/health.tsx	182	button/onPress	q.route as any	onPress={() => router.push(q.route as any)}
mobile	app/(tabs)/health.tsx	210	button/onPress	"""/health/vitals"""	"onPress={() => router.push(""/health/vitals"")}"
mobile	app/(tabs)/health.tsx	257	navigation	"""/health/vitals"""	"onAction={() => router.push(""/health/vitals"")}"
mobile	app/(tabs)/health.tsx	267	button/onPress	"""/health/vitals"""	"onPress={() => router.push(""/health/vitals"")}"
mobile	app/(tabs)/health.tsx	314	button/onPress	"""/(tabs"	"onPress={() => router.push(""/(tabs)/nursing"")}"
mobile	app/(tabs)/health.tsx	343	navigation	"""/consultations/appointments"""	"onAction={() => router.push(""/consultations/appointments"")}"
mobile	app/(tabs)/health.tsx	346	button/onPress		onPress={() =>
mobile	app/(tabs)/health.tsx	347	navigation	{	router.push({
mobile	app/(tabs)/index.tsx	41	api-call	'/users/me/profile'	apiFetch('/users/me/profile'), apiFetch('/health/reminders'), apiFetch('/nutrition/daily-summary'),
mobile	app/(tabs)/index.tsx	42	api-call	'/maternity/profile'	apiFetch('/maternity/profile'), apiFetch('/mental-health/mood?days=1'), apiFetch('/health/vitals/summary'), apiFetch('/home/upcoming-appointment'),
mobile	app/(tabs)/index.tsx	76	button/onPress	'/notifications'	"<IconButton icon=""notification"" bg=""rgba(255,255,255,0.15)"" color=""#FFFFFF"" onPress={() => router.push('/notifications')} />"
