screen_or_member	domain	role	static_actions_api_state_signals	backend/payment/journey_status	gap_or_required_test
app/[locale]/health/chronic-medications/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function ChronicMedicationsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""ChronicMedications"");const token=await requirePatientAc || 5: import { getPatientChronicMedications } from ""@/lib/api/chronic-meds-server""; || 6: import { parseChronicMedications } from ""@/lib/api/chronic-meds""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function ChronicMedicationsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""ChronicMedications"");const token=await requirePatientAc || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function ChronicMedicationsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""ChronicMedications"");const token=await requirePatientAc || 12: export default async function ChronicMedicationsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""ChronicMedications"");const token=await requirePatientAc || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function ChronicMedicationsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""ChronicMedications"");const token=await requirePatientAc"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/health/emergency-contacts/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function EmergencyContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""EmergencyContacts"");const token=await requirePatientAcce || 5: import { getPatientEmergencyContacts } from ""@/lib/api/emergency-contacts-server""; || 6: import { parseEmergencyContacts } from ""@/lib/api/emergency-contacts""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function EmergencyContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""EmergencyContacts"");const token=await requirePatientAcce || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function EmergencyContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""EmergencyContacts"");const token=await requirePatientAcce || 12: export default async function EmergencyContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""EmergencyContacts"");const token=await requirePatientAcce || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function EmergencyContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""EmergencyContacts"");const token=await requirePatientAcce"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/health/sleep/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function SleepPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Sleep"");const token=await requirePatientAccess(locale);let response: || 5: import { getPatientSleepReadings } from ""@/lib/api/sleep-server""; || 6: import { parseSleepReadings } from ""@/lib/api/sleep""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function SleepPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Sleep"");const token=await requirePatientAccess(locale);let response: || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function SleepPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Sleep"");const token=await requirePatientAccess(locale);let response: || 12: export default async function SleepPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Sleep"");const token=await requirePatientAccess(locale);let response: || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function SleepPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Sleep"");const token=await requirePatientAccess(locale);let response:"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/mental-health/mental-health.module.css	pharmacy/orders	ui/screen	1: .page { display: grid; gap: 1.25rem; padding: 1.5rem 0 4rem; } || 22: @media (max-width: 460px) { .page { gap: 1rem; padding-top: 1rem; } .grid { grid-template-columns: minmax(0, 1fr); } } || 16: .state { display: grid; justify-items: center; gap: .75rem; padding: clamp(2rem, 7vw, 3.5rem) 1.25rem; border: 1px dashed rgba(8,127,140,.28); border-radius: var(--radius-xl); background: linear-gradient(145deg, rgba(255,255,255,.76), rgba( || 17: .state h1, .state p { margin: 0; } || 18: .state h1 { color: var(--ink); font-size: 1.1rem; } || 19: .state p { line-height: 1.7; } || 9: .card { display: grid; align-content: start; gap: .7rem; min-inline-size: 0; padding: 1.2rem; border: 1px solid var(--line); border-radius: var(--radius-xl); background: rgba(255,255,255,.92); box-shadow: var(--shadow-md); } || 10: .card span { color: var(--muted); font-size: .84rem; font-weight: 700; line-height: 1.55; } || 11: .card strong { color: var(--ink); font-size: 1.05rem; overflow-wrap: anywhere; } || 12: a.card { color: inherit; text-decoration: none; transition: transform var(--motion-normal) var(--ease-premium), border-color var(--motion-normal) var(--ease-premium), box-shadow var(--motion-normal) var(--ease-premium); } || 13: a.card svg { color: var(--brand-deep); } || 14: a.card:focus-visible { outline: 3px solid rgba(37,99,235,.56); outline-offset: 3px; } || 15: @media (hover: hover) and (pointer: fine) { a.card:hover { border-color: rgba(8,127,140,.35); box-shadow: var(--shadow-lg); transform: translateY(-2px); } } || 23: @media (prefers-reduced-motion: reduce) { a.card { transition: none; } a.card:hover { transform: none; } }	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/mental-health/page.tsx	diagnostics/homecare	ui/screen	"11: export default async function MentalHealthPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale) || 5: import { getPatientWellbeingDashboard } from ""@/lib/api/mental-health-server""; || 6: import { parseWellbeingDashboard } from ""@/lib/api/mental-health""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 11: export default async function MentalHealthPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale) || 11: export default async function MentalHealthPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale) || 11: export default async function MentalHealthPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale) || 11: export default async function MentalHealthPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale)"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/mental-health/mood/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function MoodHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale); || 5: import { parseMoodHistory } from ""@/lib/api/mood""; || 6: import { getPatientMoodHistory } from ""@/lib/api/mood-server""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function MoodHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale); || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function MoodHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale); || 12: export default async function MoodHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale); || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function MoodHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(locale);"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/mental-health/breathing/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function BreathingHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(loc || 5: import { parseBreathingHistory } from ""@/lib/api/breathing""; || 6: import { getPatientBreathingHistory } from ""@/lib/api/breathing-server""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function BreathingHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(loc || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function BreathingHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(loc || 12: export default async function BreathingHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(loc || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function BreathingHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(loc"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/mental-health/crisis-contacts/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function CrisisContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(local || 5: import { parseCrisisContacts } from ""@/lib/api/crisis-contacts""; || 6: import { getPatientCrisisContacts } from ""@/lib/api/crisis-contacts-server""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function CrisisContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(local || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function CrisisContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(local || 12: export default async function CrisisContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(local || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function CrisisContactsPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(local"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/mental-health/meditation/page.tsx	diagnostics/homecare	ui/screen	"9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function MeditationHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(lo || 5: import { parseMeditationHistory } from ""@/lib/api/meditation""; || 6: import { getPatientMeditationHistory } from ""@/lib/api/meditation-server""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 7: import { requirePatientAccess } from ""@/lib/auth/session""; || 12: export default async function MeditationHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(lo || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function MeditationHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(lo || 12: export default async function MeditationHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(lo || 9: import { RetryButton } from ""@/components-next/retry-button""; || 12: export default async function MeditationHistoryPage({params}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""MentalHealth"");const token=await requirePatientAccess(lo"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/prescriptions/prescriptions-ssr.test.ts	pharmacy/orders	test	"12: import PrescriptionsPage from ""./page""; || 13: import PrescriptionDetailPage from ""./[prescriptionId]/page""; || 26: state.getPatientPrescriptions.mockResolvedValue(new Response(JSON.stringify({ prescriptions: [{ id: prescriptionId, state: ""CREATED_BY_DOCTOR"", createdAt: ""2026-08-20T10:00:00.000Z"", items: [{ medicine_name_ar: ""private-medicine"", dose: ""pr || 28: const html = renderToStaticMarkup(await PrescriptionsPage({ params: Promise.resolve({ locale: ""en"" }) })); || 34: expect(html).not.toMatch(/href=""[^""]*private-prescription/i); || 45: const html = renderToStaticMarkup(await PrescriptionDetailPage({ params: Promise.resolve({ locale: ""en"", prescriptionId }) })); || 9: vi.mock(""@/lib/auth/session"", () => ({ requirePatientAccess: state.requirePatientAccess })); || 10: vi.mock(""@/lib/api/prescriptions-server"", () => ({ getPatientPrescriptions: state.getPatientPrescriptions })); || 9: vi.mock(""@/lib/auth/session"", () => ({ requirePatientAccess: state.requirePatientAccess })); || 16: const serverToken = ""server-only-prescription-token-never-in-html""; || 22: state.requirePatientAccess.mockReset().mockResolvedValue(serverToken); || 25: it(""renders bounded patient prescription metadata without diagnosis, instructions, file, or token"", async () => { || 30: expect(state.getPatientPrescriptions).toHaveBeenCalledWith(serverToken); || 33: for (const secret of [serverToken, prescriptionId, ""private-dose"", ""private-instructions"", ""private-patient"", ""private-diagnosis"", ""private-notes"", fileUrl]) expect(html).not.toContain(secret); || 41: state.requirePatientAccess.mockReset().mockResolvedValue(serverToken); || 49: for (const secret of [serverToken, prescriptionId, ""private-dose"", ""private-instructions""]) expect(html).not.toContain(secret); || 4: const state = vi.hoisted(() => ({ getPatientPrescriptions: vi.fn(), requirePatientAccess: vi.fn() })); || 9: vi.mock(""@/lib/auth/session"", () => ({ requirePatientAccess: state.requirePatientAccess })); || 10: vi.mock(""@/lib/api/prescriptions-server"", () => ({ getPatientPrescriptions: state.getPatientPrescriptions })); || 21: state.getPatientPrescriptions.mockReset(); || 22: state.requirePatientAccess.mockReset().mockResolvedValue(serverToken); || 26: state.getPatientPrescriptions.mockResolvedValue(new Response(JSON.stringify({ prescriptions: [{ id: prescriptionId, state: ""CREATED_BY_DOCTOR"", createdAt: ""2026-08-20T10:00:00.000Z"", items: [{ medicine_name_ar: ""private-medicine"", dose: ""pr || 30: expect(state.getPatientPrescriptions).toHaveBeenCalledWith(serverToken); || 40: state.getPatientPrescriptions.mockReset();"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/prescriptions/page.tsx	pharmacy/orders	ui/screen	"7: import { RetryButton } from ""@/components-next/retry-button""; || 13: export default async function PrescriptionsPage({ params }: Props) { || 20: if (response.status === 401) redirect(`/${locale}/login`); || 22: if (!response.ok) return <main className={`main ${styles.page}`}><section className={styles.state} role=""alert""><FileText size={25} aria-hidden=""true"" /><h1>{t(""unavailableTitle"")}</h1><p>{t(""unavailable"")}</p><RetryButton /></section></mai || 24: return <main className={`main ${styles.page}`}> || 3: import { extractPrescriptionSummaries } from ""@/lib/api/prescriptions""; || 4: import { getPatientPrescriptions } from ""@/lib/api/prescriptions-server""; || 5: import { requirePatientAccess } from ""@/lib/auth/session""; || 5: import { requirePatientAccess } from ""@/lib/auth/session""; || 18: const token = await requirePatientAccess(locale); || 19: const response = await getPatientPrescriptions(token); || 20: if (response.status === 401) redirect(`/${locale}/login`); || 22: if (!response.ok) return <main className={`main ${styles.page}`}><section className={styles.state} role=""alert""><FileText size={25} aria-hidden=""true"" /><h1>{t(""unavailableTitle"")}</h1><p>{t(""unavailable"")}</p><RetryButton /></section></mai || 7: import { RetryButton } from ""@/components-next/retry-button""; || 20: if (response.status === 401) redirect(`/${locale}/login`); || 21: if (response.status === 403 || response.status === 404) notFound(); || 22: if (!response.ok) return <main className={`main ${styles.page}`}><section className={styles.state} role=""alert""><FileText size={25} aria-hidden=""true"" /><h1>{t(""unavailableTitle"")}</h1><p>{t(""unavailable"")}</p><RetryButton /></section></mai || 32: {prescriptions.length === 0 ? <section className={styles.state}><FileText size={25} aria-hidden=""true"" /><p>{t(""empty"")}</p></section> : <section className={styles.grid} aria-label={t(""title"")}>{prescriptions.map((prescription) => <article  || 35: <strong className={styles.status}>{prescription.state || t(""stateUnavailable"")}</strong> || 32: {prescriptions.length === 0 ? <section className={styles.state}><FileText size={25} aria-hidden=""true"" /><p>{t(""empty"")}</p></section> : <section className={styles.grid} aria-label={t(""title"")}>{prescriptions.map((prescription) => <article  || 33: <span className={styles.cardIcon}><FileText size={19} aria-hidden=""true"" /></span> || 34: <div className={styles.cardBody}> || 7: import { RetryButton } from ""@/components-next/retry-button""; || 22: if (!response.ok) return <main className={`main ${styles.page}`}><section className={styles.state} role=""alert""><FileText size={25} aria-hidden=""true"" /><h1>{t(""unavailableTitle"")}</h1><p>{t(""unavailable"")}</p><RetryButton /></section></mai"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/prescriptions/prescriptions.module.css	pharmacy/orders	ui/screen	1: .page { display: grid; gap: 1.25rem; padding: 1.5rem 0 4rem; } || 28: @media (max-width: 540px) { .page { gap: 1rem; padding-top: 1rem; } .intro { padding: 1.2rem; } .grid { grid-template-columns: minmax(0, 1fr); } .introIcon { inline-size: 3.1rem; block-size: 3.1rem; } } || 15: .status { color: var(--ink); font-size: 1rem; overflow-wrap: anywhere; } || 22: .state { display: grid; justify-items: center; gap: .75rem; padding: clamp(2rem, 7vw, 3.5rem) 1.25rem; border: 1px dashed rgba(8,127,140,.28); border-radius: var(--radius-xl); background: linear-gradient(145deg, rgba(255,255,255,.76), rgba( || 23: .state svg { color: var(--brand-deep); } || 24: .state h1, .state p { margin: 0; } || 25: .state h1 { color: var(--ink); font-size: 1.1rem; } || 26: .state p { max-inline-size: 38rem; line-height: 1.7; } || 11: .card { display: grid; grid-template-columns: auto minmax(0, 1fr); align-items: start; gap: .9rem; min-inline-size: 0; padding: 1.2rem; border: 1px solid var(--line); border-radius: var(--radius-xl); background: rgba(255,255,255,.92); box-s || 12: @media (hover: hover) and (pointer: fine) { .card:hover { border-color: rgba(8,127,140,.35); box-shadow: var(--shadow-lg); transform: translateY(-2px); } } || 13: .cardIcon { display: grid; place-items: center; inline-size: 2.7rem; block-size: 2.7rem; border-radius: var(--radius-md); color: var(--brand-deep); background: var(--brand-soft); } || 14: .cardBody { display: grid; gap: .4rem; min-inline-size: 0; } || 29: @media (prefers-reduced-motion: reduce) { .card { transition: none; } .card:hover { transform: none; } }	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/prescriptions/[prescriptionId]/page.tsx	pharmacy/orders	ui/screen	"11: export default async function PrescriptionDetailPage({ params }: Props) { || 18: return <main className={`main ${styles.page}`}> || 23: <Link className={styles.date} href={`/${locale}/prescriptions`}>{t(""back"")}</Link> || 5: import { requirePatientAccess } from ""@/lib/auth/session""; || 5: import { requirePatientAccess } from ""@/lib/auth/session""; || 19: <section className={styles.state} role=""alert""> || 19: <section className={styles.state} role=""alert""> || 22: <p>{t(""contractPending"")}</p> || 22: <p>{t(""contractPending"")}</p>"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/articles/page.tsx	pharmacy/orders	ui/screen	"8: import { RetryButton } from ""@/components-next/retry-button""; || 11: export default async function ArticlesPage({params,searchParams}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const Chevron=locale===""ar""||locale===""ur || 5: import { getPublicArticleCategories, getPublicArticles } from ""@/lib/api/articles-server""; || 6: import { parseArticleCategories, parseArticleList } from ""@/lib/api/articles""; || 11: export default async function ArticlesPage({params,searchParams}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const Chevron=locale===""ar""||locale===""ur || 8: import { RetryButton } from ""@/components-next/retry-button""; || 11: export default async function ArticlesPage({params,searchParams}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const Chevron=locale===""ar""||locale===""ur || 11: export default async function ArticlesPage({params,searchParams}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const Chevron=locale===""ar""||locale===""ur || 8: import { RetryButton } from ""@/components-next/retry-button""; || 11: export default async function ArticlesPage({params,searchParams}:Props){const {locale}=await params;if(!isLocale(locale))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const Chevron=locale===""ar""||locale===""ur"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/articles/articles.module.css	pharmacy/orders	ui/screen	1: .page { display: grid; gap: 1.25rem; padding: 1.5rem 0 4rem; } || 35: @media (max-width: 560px) { .page { gap: 1rem; padding-top: 1rem; } .search { align-items: stretch; } .search button { padding-inline: .7rem; } } || 27: .empty, .state { display: grid; justify-items: center; gap: .75rem; padding: clamp(2rem, 7vw, 3.5rem) 1.25rem; border: 1px dashed rgba(8,127,140,.28); border-radius: var(--radius-xl); background: linear-gradient(145deg, rgba(255,255,255,.76 || 28: .empty h2, .empty p, .state h1, .state p { margin: 0; } || 29: .empty h2, .state h1 { color: var(--ink); font-size: 1.1rem; } || 30: .empty p, .state p { max-inline-size: 38rem; line-height: 1.7; } || 14: .search button:focus-visible, .primary:focus-visible, .chip:focus-visible, .chipActive:focus-visible, .card:focus-visible, .back:focus-visible { outline: 3px solid rgba(37,99,235,.56); outline-offset: 3px; } || 15: @media (hover: hover) and (pointer: fine) { .search button:hover, .primary:hover { background: var(--brand-deep); } .card:hover { border-color: rgba(8,127,140,.35); box-shadow: var(--shadow-lg); transform: translateY(-2px); } } || 20: .card { display: grid; grid-template-columns: auto minmax(0, 1fr) auto; align-items: center; gap: .9rem; padding: 1.15rem; border: 1px solid var(--line); border-radius: var(--radius-xl); background: rgba(255,255,255,.92); box-shadow: var(-- || 36: @media (prefers-reduced-motion: reduce) { .card, .search button, .primary { transition: none; } .card:hover { transform: none; } } || 27: .empty, .state { display: grid; justify-items: center; gap: .75rem; padding: clamp(2rem, 7vw, 3.5rem) 1.25rem; border: 1px dashed rgba(8,127,140,.28); border-radius: var(--radius-xl); background: linear-gradient(145deg, rgba(255,255,255,.76 || 28: .empty h2, .empty p, .state h1, .state p { margin: 0; } || 29: .empty h2, .state h1 { color: var(--ink); font-size: 1.1rem; } || 30: .empty p, .state p { max-inline-size: 38rem; line-height: 1.7; }	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
app/[locale]/articles/[slug]/page.tsx	pharmacy/orders	ui/screen	"8: import { RetryButton } from ""@/components-next/retry-button""; || 11: export default async function ArticlePage({params}:Props){const {locale,slug}=await params;if(!isLocale(locale)||!articleSlug(slug))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const response=await getPublic || 5: import { getPublicArticle } from ""@/lib/api/articles-server""; || 6: import { articleSlug, parseArticle } from ""@/lib/api/articles""; || 11: export default async function ArticlePage({params}:Props){const {locale,slug}=await params;if(!isLocale(locale)||!articleSlug(slug))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const response=await getPublic || 8: import { RetryButton } from ""@/components-next/retry-button""; || 11: export default async function ArticlePage({params}:Props){const {locale,slug}=await params;if(!isLocale(locale)||!articleSlug(slug))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const response=await getPublic || 8: import { RetryButton } from ""@/components-next/retry-button""; || 11: export default async function ArticlePage({params}:Props){const {locale,slug}=await params;if(!isLocale(locale)||!articleSlug(slug))notFound();setRequestLocale(locale);const t=await getTranslations(""Articles"");const response=await getPublic"	UNVERIFIED_BASELINE_ONLY	Require screen CTA→API/socket→handler/DB/state→payment/insurance→notification/result mapping; owner/stranger/unauth and negative/loading/empty/retry/cancel tests
